title,line number,line,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet XLVI,0,Mine eye and heart are at a mortal war,"('mine', 'eye', 'and', 'heart', 'are', 'at', 'a', 'mortal', 'war')","('mine', 'eye', 'and', 'heart', 'are', 'at', 'a', 'mortal', 'war')","(('mine', 1), ('eye', 1), ('and', 1), ('heart', 1), ('are', 1), ('at', 1), ('a', 1), ('mortal', 2), ('war', 1))","(('mine', 1), ('eye', 1), ('and', 1), ('heart', 1), ('are', 1), ('at', 1), ('a', 1), ('mortal', 2), ('war', 1))"
Sonnet XLVI,1,How to divide the conquest of thy sight;,"('how', 'to', 'divide', 'the', 'conquest', 'of', 'thy', 'sight', ';')","('how', 'to', 'divide', 'the', 'conquest', 'of', 'thy', 'sight;')","(('how', 1), ('to', 1), ('divide', 2), ('the', 1), ('conquest', 2), ('of', 1), ('thy', 1), ('sight', 1), (';', 0))","(('how', 1), ('to', 1), ('divide', 2), ('the', 1), ('conquest', 2), ('of', 1), ('thy', 1), ('sight;', None))"
Sonnet XLVI,2,"Mine eye my heart thy picture's sight would bar,","('mine', 'eye', 'my', 'heart', 'thy', ""picture's"", 'sight', 'would', 'bar', ',')","('mine', 'eye', 'my', 'heart', 'thy', ""picture's"", 'sight', 'would', 'bar', '')","(('mine', 1), ('eye', 1), ('my', 1), ('heart', 1), ('thy', 1), (""picture's"", 2), ('sight', 1), ('would', 1), ('bar', 1), (',', 0))","(('mine', 1), ('eye', 1), ('my', 1), ('heart', 1), ('thy', 1), (""picture's"", 2), ('sight', 1), ('would', 1), ('bar', 1), ('', None))"
Sonnet XLVI,3,My heart mine eye the freedom of that right.,"('my', 'heart', 'mine', 'eye', 'the', 'freedom', 'of', 'that', 'right', '.')","('my', 'heart', 'mine', 'eye', 'the', 'freedom', 'of', 'that', 'right', '')","(('my', 1), ('heart', 1), ('mine', 1), ('eye', 1), ('the', 1), ('freedom', 2), ('of', 1), ('that', 1), ('right', 1), ('.', 0))","(('my', 1), ('heart', 1), ('mine', 1), ('eye', 1), ('the', 1), ('freedom', 2), ('of', 1), ('that', 1), ('right', 1), ('', None))"
Sonnet XLVI,4,My heart doth plead that thou in him dost lie--,"('my', 'heart', 'doth', 'plead', 'that', 'thou', 'in', 'him', 'dost', 'lie', '-', '-')","('my', 'heart', 'doth', 'plead', 'that', 'thou', 'in', 'him', 'dost', 'lie', '', '')","(('my', 1), ('heart', 1), ('doth', 1), ('plead', 1), ('that', 1), ('thou', 1), ('in', 1), ('him', 1), ('dost', 1), ('lie', 1), ('-', 0), ('-', 0))","(('my', 1), ('heart', 1), ('doth', 1), ('plead', 1), ('that', 1), ('thou', 1), ('in', 1), ('him', 1), ('dost', 1), ('lie', 1), ('', None), ('', None))"
Sonnet XLVI,5,A closet never pierced with crystal eyes--,"('a', 'closet', 'never', 'pierced', 'with', 'crystal', 'eyes', '-', '-')","('a', 'closet', 'never', 'pierced', 'with', 'crystal', 'eyes', '', '')","(('a', 1), ('closet', 2), ('never', 2), ('pierced', 1), ('with', 1), ('crystal', 2), ('eyes', 1), ('-', 0), ('-', 0))","(('a', 1), ('closet', 2), ('never', 2), ('pierced', 1), ('with', 1), ('crystal', 2), ('eyes', 1), ('', None), ('', None))"
Sonnet XLVI,6,But the defendant doth that plea deny,"('but', 'the', 'defendant', 'doth', 'that', 'plea', 'deny')","('but', 'the', 'defendant', 'doth', 'that', 'plea', 'deny')","(('but', 1), ('the', 1), ('defendant', 3), ('doth', 1), ('that', 1), ('plea', 1), ('deny', 2))","(('but', 1), ('the', 1), ('defendant', 3), ('doth', 1), ('that', 1), ('plea', 1), ('deny', 2))"
Sonnet XLVI,7,And says in him thy fair appearance lies.,"('and', 'says', 'in', 'him', 'thy', 'fair', 'appearance', 'lies', '.')","('and', 'says', 'in', 'him', 'thy', 'fair', 'appearance', 'lies', '')","(('and', 1), ('says', 1), ('in', 1), ('him', 1), ('thy', 1), ('fair', 1), ('appearance', 3), ('lies', 1), ('.', 0))","(('and', 1), ('says', 1), ('in', 1), ('him', 1), ('thy', 1), ('fair', 1), ('appearance', 3), ('lies', 1), ('', None))"
Sonnet XLVI,8,To 'cide this title is impanneled,"('to', ""'cide"", 'this', 'title', 'is', 'impanneled')","('to', ""'cide"", 'this', 'title', 'is', 'impanneled')","(('to', 1), (""'cide"", None), ('this', 1), ('title', 2), ('is', 1), ('impanneled', None))","(('to', 1), (""'cide"", None), ('this', 1), ('title', 2), ('is', 1), ('impanneled', None))"
Sonnet XLVI,9,"A quest of thoughts, all tenants to the heart,","('a', 'quest', 'of', 'thoughts', ',', 'all', 'tenants', 'to', 'the', 'heart', ',')","('a', 'quest', 'of', 'thoughts', '', 'all', 'tenants', 'to', 'the', 'heart', '')","(('a', 1), ('quest', 1), ('of', 1), ('thoughts', 1), (',', 0), ('all', 1), ('tenants', 2), ('to', 1), ('the', 1), ('heart', 1), (',', 0))","(('a', 1), ('quest', 1), ('of', 1), ('thoughts', 1), ('', None), ('all', 1), ('tenants', 2), ('to', 1), ('the', 1), ('heart', 1), ('', None))"
Sonnet XLVI,10,And by their verdict is determined,"('and', 'by', 'their', 'verdict', 'is', 'determined')","('and', 'by', 'their', 'verdict', 'is', 'determined')","(('and', 1), ('by', 1), ('their', 1), ('verdict', 2), ('is', 1), ('determined', 3))","(('and', 1), ('by', 1), ('their', 1), ('verdict', 2), ('is', 1), ('determined', 3))"
Sonnet XLVI,11,The clear eye's moiety and the dear heart's part:,"('the', 'clear', ""eye's"", 'moiety', 'and', 'the', 'dear', ""heart's"", 'part', ':')","('the', 'clear', ""eye's"", 'moiety', 'and', 'the', 'dear', ""heart's"", 'part', '')","(('the', 1), ('clear', 1), (""eye's"", 1), ('moiety', 3), ('and', 1), ('the', 1), ('dear', 1), (""heart's"", 1), ('part', 1), (':', None))","(('the', 1), ('clear', 1), (""eye's"", 1), ('moiety', 3), ('and', 1), ('the', 1), ('dear', 1), (""heart's"", 1), ('part', 1), ('', None))"
Sonnet XLVI,12,"  As thus; mine eye's due is thy outward part,","('as', 'thus', ';', 'mine', ""eye's"", 'due', 'is', 'thy', 'outward', 'part', ',')","('', '', 'as', 'thus;', 'mine', ""eye's"", 'due', 'is', 'thy', 'outward', 'part', '')","(('as', 1), ('thus', 1), (';', 0), ('mine', 1), (""eye's"", 1), ('due', 1), ('is', 1), ('thy', 1), ('outward', 2), ('part', 1), (',', 0))","(('', None), ('', None), ('as', 1), ('thus;', None), ('mine', 1), (""eye's"", 1), ('due', 1), ('is', 1), ('thy', 1), ('outward', 2), ('part', 1), ('', None))"
Sonnet XLVI,13,  And my heart's right thy inward love of heart.,"('and', 'my', ""heart's"", 'right', 'thy', 'inward', 'love', 'of', 'heart', '.')","('', '', 'and', 'my', ""heart's"", 'right', 'thy', 'inward', 'love', 'of', 'heart', '')","(('and', 1), ('my', 1), (""heart's"", 1), ('right', 1), ('thy', 1), ('inward', 2), ('love', 1), ('of', 1), ('heart', 1), ('.', 0))","(('', None), ('', None), ('and', 1), ('my', 1), (""heart's"", 1), ('right', 1), ('thy', 1), ('inward', 2), ('love', 1), ('of', 1), ('heart', 1), ('', None))"
Sonnet XLVII,0,"Betwixt mine eye and heart a league is took,","('betwixt', 'mine', 'eye', 'and', 'heart', 'a', 'league', 'is', 'took', ',')","('betwixt', 'mine', 'eye', 'and', 'heart', 'a', 'league', 'is', 'took', '')","(('betwixt', 2), ('mine', 1), ('eye', 1), ('and', 1), ('heart', 1), ('a', 1), ('league', 1), ('is', 1), ('took', 1), (',', 0))","(('betwixt', 2), ('mine', 1), ('eye', 1), ('and', 1), ('heart', 1), ('a', 1), ('league', 1), ('is', 1), ('took', 1), ('', None))"
Sonnet XLVII,1,And each doth good turns now unto the other:,"('and', 'each', 'doth', 'good', 'turns', 'now', 'unto', 'the', 'other', ':')","('and', 'each', 'doth', 'good', 'turns', 'now', 'unto', 'the', 'other', '')","(('and', 1), ('each', 1), ('doth', 1), ('good', 1), ('turns', 1), ('now', 1), ('unto', 2), ('the', 1), ('other', 2), (':', None))","(('and', 1), ('each', 1), ('doth', 1), ('good', 1), ('turns', 1), ('now', 1), ('unto', 2), ('the', 1), ('other', 2), ('', None))"
Sonnet XLVII,2,"When that mine eye is famish'd for a look,","('when', 'that', 'mine', 'eye', 'is', ""famish'd"", 'for', 'a', 'look', ',')","('when', 'that', 'mine', 'eye', 'is', ""famish'd"", 'for', 'a', 'look', '')","(('when', 1), ('that', 1), ('mine', 1), ('eye', 1), ('is', 1), (""famish'd"", None), ('for', 1), ('a', 1), ('look', 1), (',', 0))","(('when', 1), ('that', 1), ('mine', 1), ('eye', 1), ('is', 1), (""famish'd"", None), ('for', 1), ('a', 1), ('look', 1), ('', None))"
Sonnet XLVII,3,"Or heart in love with sighs himself doth smother,","('or', 'heart', 'in', 'love', 'with', 'sighs', 'himself', 'doth', 'smother', ',')","('or', 'heart', 'in', 'love', 'with', 'sighs', 'himself', 'doth', 'smother', '')","(('or', 1), ('heart', 1), ('in', 1), ('love', 1), ('with', 1), ('sighs', 1), ('himself', 2), ('doth', 1), ('smother', 2), (',', 0))","(('or', 1), ('heart', 1), ('in', 1), ('love', 1), ('with', 1), ('sighs', 1), ('himself', 2), ('doth', 1), ('smother', 2), ('', None))"
Sonnet XLVII,4,With my love's picture then my eye doth feast,"('with', 'my', ""love's"", 'picture', 'then', 'my', 'eye', 'doth', 'feast')","('with', 'my', ""love's"", 'picture', 'then', 'my', 'eye', 'doth', 'feast')","(('with', 1), ('my', 1), (""love's"", 1), ('picture', 2), ('then', 1), ('my', 1), ('eye', 1), ('doth', 1), ('feast', 1))","(('with', 1), ('my', 1), (""love's"", 1), ('picture', 2), ('then', 1), ('my', 1), ('eye', 1), ('doth', 1), ('feast', 1))"
Sonnet XLVII,5,And to the painted banquet bids my heart;,"('and', 'to', 'the', 'painted', 'banquet', 'bids', 'my', 'heart', ';')","('and', 'to', 'the', 'painted', 'banquet', 'bids', 'my', 'heart;')","(('and', 1), ('to', 1), ('the', 1), ('painted', 2), ('banquet', 2), ('bids', 1), ('my', 1), ('heart', 1), (';', 0))","(('and', 1), ('to', 1), ('the', 1), ('painted', 2), ('banquet', 2), ('bids', 1), ('my', 1), ('heart;', None))"
Sonnet XLVII,6,Another time mine eye is my heart's guest,"('another', 'time', 'mine', 'eye', 'is', 'my', ""heart's"", 'guest')","('another', 'time', 'mine', 'eye', 'is', 'my', ""heart's"", 'guest')","(('another', 3), ('time', 1), ('mine', 1), ('eye', 1), ('is', 1), ('my', 1), (""heart's"", 1), ('guest', 1))","(('another', 3), ('time', 1), ('mine', 1), ('eye', 1), ('is', 1), ('my', 1), (""heart's"", 1), ('guest', 1))"
Sonnet XLVII,7,And in his thoughts of love doth share a part:,"('and', 'in', 'his', 'thoughts', 'of', 'love', 'doth', 'share', 'a', 'part', ':')","('and', 'in', 'his', 'thoughts', 'of', 'love', 'doth', 'share', 'a', 'part', '')","(('and', 1), ('in', 1), ('his', 1), ('thoughts', 1), ('of', 1), ('love', 1), ('doth', 1), ('share', 1), ('a', 1), ('part', 1), (':', None))","(('and', 1), ('in', 1), ('his', 1), ('thoughts', 1), ('of', 1), ('love', 1), ('doth', 1), ('share', 1), ('a', 1), ('part', 1), ('', None))"
Sonnet XLVII,8,"So, either by thy picture or my love,","('so', ',', 'either', 'by', 'thy', 'picture', 'or', 'my', 'love', ',')","('so', '', 'either', 'by', 'thy', 'picture', 'or', 'my', 'love', '')","(('so', 1), (',', 0), ('either', 2), ('by', 1), ('thy', 1), ('picture', 2), ('or', 1), ('my', 1), ('love', 1), (',', 0))","(('so', 1), ('', None), ('either', 2), ('by', 1), ('thy', 1), ('picture', 2), ('or', 1), ('my', 1), ('love', 1), ('', None))"
Sonnet XLVII,9,Thyself away art resent still with me;,"('thyself', 'away', 'art', 'resent', 'still', 'with', 'me', ';')","('thyself', 'away', 'art', 'resent', 'still', 'with', 'me;')","(('thyself', 2), ('away', 2), ('art', 1), ('resent', 2), ('still', 1), ('with', 1), ('me', 1), (';', 0))","(('thyself', 2), ('away', 2), ('art', 1), ('resent', 2), ('still', 1), ('with', 1), ('me;', None))"
Sonnet XLVII,10,"For thou not farther than my thoughts canst move,","('for', 'thou', 'not', 'farther', 'than', 'my', 'thoughts', 'canst', 'move', ',')","('for', 'thou', 'not', 'farther', 'than', 'my', 'thoughts', 'canst', 'move', '')","(('for', 1), ('thou', 1), ('not', 1), ('farther', 2), ('than', 1), ('my', 1), ('thoughts', 1), ('canst', None), ('move', 1), (',', 0))","(('for', 1), ('thou', 1), ('not', 1), ('farther', 2), ('than', 1), ('my', 1), ('thoughts', 1), ('canst', None), ('move', 1), ('', None))"
Sonnet XLVII,11,And I am still with them and they with thee;,"('and', 'i', 'am', 'still', 'with', 'them', 'and', 'they', 'with', 'thee', ';')","('and', 'i', 'am', 'still', 'with', 'them', 'and', 'they', 'with', 'thee;')","(('and', 1), ('i', 1), ('am', 1), ('still', 1), ('with', 1), ('them', 1), ('and', 1), ('they', 1), ('with', 1), ('thee', 1), (';', 0))","(('and', 1), ('i', 1), ('am', 1), ('still', 1), ('with', 1), ('them', 1), ('and', 1), ('they', 1), ('with', 1), ('thee;', None))"
Sonnet XLVII,12,"  Or, if they sleep, thy picture in my sight","('or', ',', 'if', 'they', 'sleep', ',', 'thy', 'picture', 'in', 'my', 'sight')","('', '', 'or', '', 'if', 'they', 'sleep', '', 'thy', 'picture', 'in', 'my', 'sight')","(('or', 1), (',', 0), ('if', 1), ('they', 1), ('sleep', 1), (',', 0), ('thy', 1), ('picture', 2), ('in', 1), ('my', 1), ('sight', 1))","(('', None), ('', None), ('or', 1), ('', None), ('if', 1), ('they', 1), ('sleep', 1), ('', None), ('thy', 1), ('picture', 2), ('in', 1), ('my', 1), ('sight', 1))"
Sonnet XLVII,13,  Awakes my heart to heart's and eye's delight.,"('awakes', 'my', 'heart', 'to', ""heart's"", 'and', ""eye's"", 'delight', '.')","('', '', 'awakes', 'my', 'heart', 'to', ""heart's"", 'and', ""eye's"", 'delight', '')","(('awakes', None), ('my', 1), ('heart', 1), ('to', 1), (""heart's"", 1), ('and', 1), (""eye's"", 1), ('delight', 2), ('.', 0))","(('', None), ('', None), ('awakes', None), ('my', 1), ('heart', 1), ('to', 1), (""heart's"", 1), ('and', 1), (""eye's"", 1), ('delight', 2), ('', None))"
Sonnet XLVIII,0,"How careful was I, when I took my way,","('how', 'careful', 'was', 'i', ',', 'when', 'i', 'took', 'my', 'way', ',')","('how', 'careful', 'was', 'i', '', 'when', 'i', 'took', 'my', 'way', '')","(('how', 1), ('careful', 2), ('was', 1), ('i', 1), (',', 0), ('when', 1), ('i', 1), ('took', 1), ('my', 1), ('way', 1), (',', 0))","(('how', 1), ('careful', 2), ('was', 1), ('i', 1), ('', None), ('when', 1), ('i', 1), ('took', 1), ('my', 1), ('way', 1), ('', None))"
Sonnet XLVIII,1,"Each trifle under truest bars to thrust,","('each', 'trifle', 'under', 'truest', 'bars', 'to', 'thrust', ',')","('each', 'trifle', 'under', 'truest', 'bars', 'to', 'thrust', '')","(('each', 1), ('trifle', 2), ('under', 2), ('truest', 2), ('bars', 1), ('to', 1), ('thrust', 1), (',', 0))","(('each', 1), ('trifle', 2), ('under', 2), ('truest', 2), ('bars', 1), ('to', 1), ('thrust', 1), ('', None))"
Sonnet XLVIII,2,That to my use it might unused stay,"('that', 'to', 'my', 'use', 'it', 'might', 'unused', 'stay')","('that', 'to', 'my', 'use', 'it', 'might', 'unused', 'stay')","(('that', 1), ('to', 1), ('my', 1), ('use', 1), ('it', 1), ('might', 1), ('unused', 2), ('stay', 1))","(('that', 1), ('to', 1), ('my', 1), ('use', 1), ('it', 1), ('might', 1), ('unused', 2), ('stay', 1))"
Sonnet XLVIII,3,"From hands of falsehood, in sure wards of trust!","('from', 'hands', 'of', 'falsehood', ',', 'in', 'sure', 'wards', 'of', 'trust', '!')","('from', 'hands', 'of', 'falsehood', '', 'in', 'sure', 'wards', 'of', 'trust!')","(('from', 1), ('hands', 1), ('of', 1), ('falsehood', 2), (',', 0), ('in', 1), ('sure', 1), ('wards', 1), ('of', 1), ('trust', 1), ('!', 0))","(('from', 1), ('hands', 1), ('of', 1), ('falsehood', 2), ('', None), ('in', 1), ('sure', 1), ('wards', 1), ('of', 1), ('trust!', None))"
Sonnet XLVIII,4,"But thou, to whom my jewels trifles are,","('but', 'thou', ',', 'to', 'whom', 'my', 'jewels', 'trifles', 'are', ',')","('but', 'thou', '', 'to', 'whom', 'my', 'jewels', 'trifles', 'are', '')","(('but', 1), ('thou', 1), (',', 0), ('to', 1), ('whom', 1), ('my', 1), ('jewels', 2), ('trifles', 2), ('are', 1), (',', 0))","(('but', 1), ('thou', 1), ('', None), ('to', 1), ('whom', 1), ('my', 1), ('jewels', 2), ('trifles', 2), ('are', 1), ('', None))"
Sonnet XLVIII,5,"Most worthy of comfort, now my greatest grief,","('most', 'worthy', 'of', 'comfort', ',', 'now', 'my', 'greatest', 'grief', ',')","('most', 'worthy', 'of', 'comfort', '', 'now', 'my', 'greatest', 'grief', '')","(('most', 1), ('worthy', 2), ('of', 1), ('comfort', 2), (',', 0), ('now', 1), ('my', 1), ('greatest', 2), ('grief', 1), (',', 0))","(('most', 1), ('worthy', 2), ('of', 1), ('comfort', 2), ('', None), ('now', 1), ('my', 1), ('greatest', 2), ('grief', 1), ('', None))"
Sonnet XLVIII,6,"Thou, best of dearest and mine only care,","('thou', ',', 'best', 'of', 'dearest', 'and', 'mine', 'only', 'care', ',')","('thou', '', 'best', 'of', 'dearest', 'and', 'mine', 'only', 'care', '')","(('thou', 1), (',', 0), ('best', 1), ('of', 1), ('dearest', 2), ('and', 1), ('mine', 1), ('only', 2), ('care', 1), (',', 0))","(('thou', 1), ('', None), ('best', 1), ('of', 1), ('dearest', 2), ('and', 1), ('mine', 1), ('only', 2), ('care', 1), ('', None))"
Sonnet XLVIII,7,Art left the prey of every vulgar thief.,"('art', 'left', 'the', 'prey', 'of', 'every', 'vulgar', 'thief', '.')","('art', 'left', 'the', 'prey', 'of', 'every', 'vulgar', 'thief', '')","(('art', 1), ('left', 1), ('the', 1), ('prey', 1), ('of', 1), ('every', 3), ('vulgar', 2), ('thief', 1), ('.', 0))","(('art', 1), ('left', 1), ('the', 1), ('prey', 1), ('of', 1), ('every', 3), ('vulgar', 2), ('thief', 1), ('', None))"
Sonnet XLVIII,8,"Thee have I not lock'd up in any chest,","('thee', 'have', 'i', 'not', ""lock'd"", 'up', 'in', 'any', 'chest', ',')","('thee', 'have', 'i', 'not', ""lock'd"", 'up', 'in', 'any', 'chest', '')","(('thee', 1), ('have', 1), ('i', 1), ('not', 1), (""lock'd"", None), ('up', 1), ('in', 1), ('any', 2), ('chest', 1), (',', 0))","(('thee', 1), ('have', 1), ('i', 1), ('not', 1), (""lock'd"", None), ('up', 1), ('in', 1), ('any', 2), ('chest', 1), ('', None))"
Sonnet XLVIII,9,"Save where thou art not, though I feel thou art,","('save', 'where', 'thou', 'art', 'not', ',', 'though', 'i', 'feel', 'thou', 'art', ',')","('save', 'where', 'thou', 'art', 'not', '', 'though', 'i', 'feel', 'thou', 'art', '')","(('save', 1), ('where', 1), ('thou', 1), ('art', 1), ('not', 1), (',', 0), ('though', 1), ('i', 1), ('feel', 1), ('thou', 1), ('art', 1), (',', 0))","(('save', 1), ('where', 1), ('thou', 1), ('art', 1), ('not', 1), ('', None), ('though', 1), ('i', 1), ('feel', 1), ('thou', 1), ('art', 1), ('', None))"
Sonnet XLVIII,10,"Within the gentle closure of my breast,","('within', 'the', 'gentle', 'closure', 'of', 'my', 'breast', ',')","('within', 'the', 'gentle', 'closure', 'of', 'my', 'breast', '')","(('within', 2), ('the', 1), ('gentle', 2), ('closure', 2), ('of', 1), ('my', 1), ('breast', 1), (',', 0))","(('within', 2), ('the', 1), ('gentle', 2), ('closure', 2), ('of', 1), ('my', 1), ('breast', 1), ('', None))"
Sonnet XLVIII,11,From whence at pleasure thou mayst come and part;,"('from', 'whence', 'at', 'pleasure', 'thou', 'mayst', 'come', 'and', 'part', ';')","('from', 'whence', 'at', 'pleasure', 'thou', 'mayst', 'come', 'and', 'part;')","(('from', 1), ('whence', 1), ('at', 1), ('pleasure', 2), ('thou', 1), ('mayst', None), ('come', 1), ('and', 1), ('part', 1), (';', 0))","(('from', 1), ('whence', 1), ('at', 1), ('pleasure', 2), ('thou', 1), ('mayst', None), ('come', 1), ('and', 1), ('part;', None))"
Sonnet XLVIII,12,"  And even thence thou wilt be stol'n, I fear,","('and', 'even', 'thence', 'thou', 'wilt', 'be', ""stol'n"", ',', 'i', 'fear', ',')","('', '', 'and', 'even', 'thence', 'thou', 'wilt', 'be', ""stol'n"", '', 'i', 'fear', '')","(('and', 1), ('even', 2), ('thence', 1), ('thou', 1), ('wilt', 1), ('be', 1), (""stol'n"", None), (',', 0), ('i', 1), ('fear', 1), (',', 0))","(('', None), ('', None), ('and', 1), ('even', 2), ('thence', 1), ('thou', 1), ('wilt', 1), ('be', 1), (""stol'n"", None), ('', None), ('i', 1), ('fear', 1), ('', None))"
Sonnet XLVIII,13,  For truth proves thievish for a prize so dear.,"('for', 'truth', 'proves', 'thievish', 'for', 'a', 'prize', 'so', 'dear', '.')","('', '', 'for', 'truth', 'proves', 'thievish', 'for', 'a', 'prize', 'so', 'dear', '')","(('for', 1), ('truth', 1), ('proves', 1), ('thievish', None), ('for', 1), ('a', 1), ('prize', 1), ('so', 1), ('dear', 1), ('.', 0))","(('', None), ('', None), ('for', 1), ('truth', 1), ('proves', 1), ('thievish', None), ('for', 1), ('a', 1), ('prize', 1), ('so', 1), ('dear', 1), ('', None))"
Sonnet XLIX,0,"Against that time, if ever that time come,","('against', 'that', 'time', ',', 'if', 'ever', 'that', 'time', 'come', ',')","('against', 'that', 'time', '', 'if', 'ever', 'that', 'time', 'come', '')","(('against', 2), ('that', 1), ('time', 1), (',', 0), ('if', 1), ('ever', 2), ('that', 1), ('time', 1), ('come', 1), (',', 0))","(('against', 2), ('that', 1), ('time', 1), ('', None), ('if', 1), ('ever', 2), ('that', 1), ('time', 1), ('come', 1), ('', None))"
Sonnet XLIX,1,"When I shall see thee frown on my defects,","('when', 'i', 'shall', 'see', 'thee', 'frown', 'on', 'my', 'defects', ',')","('when', 'i', 'shall', 'see', 'thee', 'frown', 'on', 'my', 'defects', '')","(('when', 1), ('i', 1), ('shall', 1), ('see', 1), ('thee', 1), ('frown', 1), ('on', 1), ('my', 1), ('defects', 2), (',', 0))","(('when', 1), ('i', 1), ('shall', 1), ('see', 1), ('thee', 1), ('frown', 1), ('on', 1), ('my', 1), ('defects', 2), ('', None))"
Sonnet XLIX,2,"When as thy love hath cast his utmost sum,","('when', 'as', 'thy', 'love', 'hath', 'cast', 'his', 'utmost', 'sum', ',')","('when', 'as', 'thy', 'love', 'hath', 'cast', 'his', 'utmost', 'sum', '')","(('when', 1), ('as', 1), ('thy', 1), ('love', 1), ('hath', 1), ('cast', 1), ('his', 1), ('utmost', 2), ('sum', 1), (',', 0))","(('when', 1), ('as', 1), ('thy', 1), ('love', 1), ('hath', 1), ('cast', 1), ('his', 1), ('utmost', 2), ('sum', 1), ('', None))"
Sonnet XLIX,3,Call'd to that audit by advised respects;,"(""call'd"", 'to', 'that', 'audit', 'by', 'advised', 'respects', ';')","(""call'd"", 'to', 'that', 'audit', 'by', 'advised', 'respects;')","((""call'd"", None), ('to', 1), ('that', 1), ('audit', 2), ('by', 1), ('advised', 2), ('respects', 2), (';', 0))","((""call'd"", None), ('to', 1), ('that', 1), ('audit', 2), ('by', 1), ('advised', 2), ('respects;', None))"
Sonnet XLIX,4,Against that time when thou shalt strangely pass,"('against', 'that', 'time', 'when', 'thou', 'shalt', 'strangely', 'pass')","('against', 'that', 'time', 'when', 'thou', 'shalt', 'strangely', 'pass')","(('against', 2), ('that', 1), ('time', 1), ('when', 1), ('thou', 1), ('shalt', 1), ('strangely', 2), ('pass', 1))","(('against', 2), ('that', 1), ('time', 1), ('when', 1), ('thou', 1), ('shalt', 1), ('strangely', 2), ('pass', 1))"
Sonnet XLIX,5,"And scarcely greet me with that sun thine eye,","('and', 'scarcely', 'greet', 'me', 'with', 'that', 'sun', 'thine', 'eye', ',')","('and', 'scarcely', 'greet', 'me', 'with', 'that', 'sun', 'thine', 'eye', '')","(('and', 1), ('scarcely', 2), ('greet', 1), ('me', 1), ('with', 1), ('that', 1), ('sun', 1), ('thine', 1), ('eye', 1), (',', 0))","(('and', 1), ('scarcely', 2), ('greet', 1), ('me', 1), ('with', 1), ('that', 1), ('sun', 1), ('thine', 1), ('eye', 1), ('', None))"
Sonnet XLIX,6,"When love, converted from the thing it was,","('when', 'love', ',', 'converted', 'from', 'the', 'thing', 'it', 'was', ',')","('when', 'love', '', 'converted', 'from', 'the', 'thing', 'it', 'was', '')","(('when', 1), ('love', 1), (',', 0), ('converted', 3), ('from', 1), ('the', 1), ('thing', 1), ('it', 1), ('was', 1), (',', 0))","(('when', 1), ('love', 1), ('', None), ('converted', 3), ('from', 1), ('the', 1), ('thing', 1), ('it', 1), ('was', 1), ('', None))"
Sonnet XLIX,7,"Shall reasons find of settled gravity,--","('shall', 'reasons', 'find', 'of', 'settled', 'gravity', ',', '-', '-')","('shall', 'reasons', 'find', 'of', 'settled', 'gravity', '', '', '')","(('shall', 1), ('reasons', 2), ('find', 1), ('of', 1), ('settled', 2), ('gravity', 3), (',', 0), ('-', 0), ('-', 0))","(('shall', 1), ('reasons', 2), ('find', 1), ('of', 1), ('settled', 2), ('gravity', 3), ('', None), ('', None), ('', None))"
Sonnet XLIX,8,Against that time do I ensconce me here,"('against', 'that', 'time', 'do', 'i', 'ensconce', 'me', 'here')","('against', 'that', 'time', 'do', 'i', 'ensconce', 'me', 'here')","(('against', 2), ('that', 1), ('time', 1), ('do', 1), ('i', 1), ('ensconce', 2), ('me', 1), ('here', 1))","(('against', 2), ('that', 1), ('time', 1), ('do', 1), ('i', 1), ('ensconce', 2), ('me', 1), ('here', 1))"
Sonnet XLIX,9,"Within the knowledge of mine own desert,","('within', 'the', 'knowledge', 'of', 'mine', 'own', 'desert', ',')","('within', 'the', 'knowledge', 'of', 'mine', 'own', 'desert', '')","(('within', 2), ('the', 1), ('knowledge', 2), ('of', 1), ('mine', 1), ('own', 1), ('desert', 2), (',', 0))","(('within', 2), ('the', 1), ('knowledge', 2), ('of', 1), ('mine', 1), ('own', 1), ('desert', 2), ('', None))"
Sonnet XLIX,10,"And this my hand against myself uprear,","('and', 'this', 'my', 'hand', 'against', 'myself', 'uprear', ',')","('and', 'this', 'my', 'hand', 'against', 'myself', 'uprear', '')","(('and', 1), ('this', 1), ('my', 1), ('hand', 1), ('against', 2), ('myself', 2), ('uprear', None), (',', 0))","(('and', 1), ('this', 1), ('my', 1), ('hand', 1), ('against', 2), ('myself', 2), ('uprear', None), ('', None))"
Sonnet XLIX,11,To guard the lawful reasons on thy part:,"('to', 'guard', 'the', 'lawful', 'reasons', 'on', 'thy', 'part', ':')","('to', 'guard', 'the', 'lawful', 'reasons', 'on', 'thy', 'part', '')","(('to', 1), ('guard', 1), ('the', 1), ('lawful', 2), ('reasons', 2), ('on', 1), ('thy', 1), ('part', 1), (':', None))","(('to', 1), ('guard', 1), ('the', 1), ('lawful', 2), ('reasons', 2), ('on', 1), ('thy', 1), ('part', 1), ('', None))"
