previous_word,one_word,one_word_next,two_word,two_word_next,three_gram,three_word_next
"('rolling', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('gilding', 2)","('the', 1)","(('gilding', 'the'), None)","('object', 2)","(('gilding', 'the', 'object'), None)","('whereupon', 3)"
"('gilding', 2)","('the', 1)","('object', 2)","(('the', 'object'), None)","('whereupon', 3)","(('the', 'object', 'whereupon'), None)","('it', 1)"
"('the', 1)","('object', 2)","('whereupon', 3)","(('object', 'whereupon'), None)","('it', 1)","(('object', 'whereupon', 'it'), None)","('gazeth', None)"
"('object', 2)","('whereupon', 3)","('it', 1)","(('whereupon', 'it'), None)","('gazeth', None)","(('whereupon', 'it', 'gazeth'), None)","(';', 0)"
"('whereupon', 3)","('it', 1)","('gazeth', None)","(('it', 'gazeth'), None)","(';', 0)","(('it', 'gazeth', ';'), None)","('\n', 0)"
"('it', 1)","('gazeth', None)","(';', 0)","(('gazeth', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('gazeth', None)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('a', 1)","('man', 1)","(('a', 'man'), None)","('in', 1)","(('a', 'man', 'in'), None)","('hue', 1)"
"('a', 1)","('man', 1)","('in', 1)","(('man', 'in'), None)","('hue', 1)","(('man', 'in', 'hue'), None)","(',', 0)"
"('man', 1)","('in', 1)","('hue', 1)","(('in', 'hue'), None)","(',', 0)","(('in', 'hue', ','), None)","('all', 1)"
"('in', 1)","('hue', 1)","(',', 0)","(('hue', ','), None)","('all', 1)","(('hue', ',', 'all'), None)","(""'hues'"", None)"
"('hue', 1)","(',', 0)","('all', 1)","((',', 'all'), None)","(""'hues'"", None)","((',', 'all', ""'hues'""), None)","('in', 1)"
"(',', 0)","('all', 1)","(""'hues'"", None)","(('all', ""'hues'""), None)","('in', 1)","(('all', ""'hues'"", 'in'), None)","('his', 1)"
"('all', 1)","(""'hues'"", None)","('in', 1)","((""'hues'"", 'in'), None)","('his', 1)","((""'hues'"", 'in', 'his'), None)","('controlling', 3)"
"(""'hues'"", None)","('in', 1)","('his', 1)","(('in', 'his'), None)","('controlling', 3)","(('in', 'his', 'controlling'), None)","(',', 0)"
"('in', 1)","('his', 1)","('controlling', 3)","(('his', 'controlling'), None)","(',', 0)","(('his', 'controlling', ','), None)","('\n', 0)"
"('his', 1)","('controlling', 3)","(',', 0)","(('controlling', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('controlling', 3)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('much', 1)","('steals', 1)","(('much', 'steals'), None)","(""men's"", 1)","(('much', 'steals', ""men's""), None)","('eyes', 1)"
"('much', 1)","('steals', 1)","(""men's"", 1)","(('steals', ""men's""), None)","('eyes', 1)","(('steals', ""men's"", 'eyes'), None)","('and', 1)"
"('steals', 1)","(""men's"", 1)","('eyes', 1)","((""men's"", 'eyes'), None)","('and', 1)","((""men's"", 'eyes', 'and'), None)","(""women's"", 2)"
"(""men's"", 1)","('eyes', 1)","('and', 1)","(('eyes', 'and'), None)","(""women's"", 2)","(('eyes', 'and', ""women's""), None)","('souls', 1)"
"('eyes', 1)","('and', 1)","(""women's"", 2)","(('and', ""women's""), None)","('souls', 1)","(('and', ""women's"", 'souls'), None)","('amazeth', None)"
"('and', 1)","(""women's"", 2)","('souls', 1)","((""women's"", 'souls'), None)","('amazeth', None)","((""women's"", 'souls', 'amazeth'), None)","('.', 0)"
"(""women's"", 2)","('souls', 1)","('amazeth', None)","(('souls', 'amazeth'), None)","('.', 0)","(('souls', 'amazeth', '.'), None)","('\n', 0)"
"('souls', 1)","('amazeth', None)","('.', 0)","(('amazeth', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('amazeth', None)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('for', 1)","(('and', 'for'), None)","('a', 1)","(('and', 'for', 'a'), None)","('woman', 2)"
"('and', 1)","('for', 1)","('a', 1)","(('for', 'a'), None)","('woman', 2)","(('for', 'a', 'woman'), None)","('wert', 1)"
"('for', 1)","('a', 1)","('woman', 2)","(('a', 'woman'), None)","('wert', 1)","(('a', 'woman', 'wert'), None)","('thou', 1)"
"('a', 1)","('woman', 2)","('wert', 1)","(('woman', 'wert'), None)","('thou', 1)","(('woman', 'wert', 'thou'), None)","('first', 1)"
"('woman', 2)","('wert', 1)","('thou', 1)","(('wert', 'thou'), None)","('first', 1)","(('wert', 'thou', 'first'), None)","('created', 3)"
"('wert', 1)","('thou', 1)","('first', 1)","(('thou', 'first'), None)","('created', 3)","(('thou', 'first', 'created'), None)","(';', 0)"
"('thou', 1)","('first', 1)","('created', 3)","(('first', 'created'), None)","(';', 0)","(('first', 'created', ';'), None)","('\n', 0)"
"('first', 1)","('created', 3)","(';', 0)","(('created', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('created', 3)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('till', 1)","('nature', 2)","(('till', 'nature'), None)","(',', 0)","(('till', 'nature', ','), None)","('as', 1)"
"('till', 1)","('nature', 2)","(',', 0)","(('nature', ','), None)","('as', 1)","(('nature', ',', 'as'), None)","('she', 1)"
"('nature', 2)","(',', 0)","('as', 1)","((',', 'as'), None)","('she', 1)","((',', 'as', 'she'), None)","('wrought', 1)"
"(',', 0)","('as', 1)","('she', 1)","(('as', 'she'), None)","('wrought', 1)","(('as', 'she', 'wrought'), None)","('thee', 1)"
"('as', 1)","('she', 1)","('wrought', 1)","(('she', 'wrought'), None)","('thee', 1)","(('she', 'wrought', 'thee'), None)","(',', 0)"
"('she', 1)","('wrought', 1)","('thee', 1)","(('wrought', 'thee'), None)","(',', 0)","(('wrought', 'thee', ','), None)","('fell', 1)"
"('wrought', 1)","('thee', 1)","(',', 0)","(('thee', ','), None)","('fell', 1)","(('thee', ',', 'fell'), None)","('a', 1)"
"('thee', 1)","(',', 0)","('fell', 1)","((',', 'fell'), None)","('a', 1)","((',', 'fell', 'a'), None)","('-', 0)"
"(',', 0)","('fell', 1)","('a', 1)","(('fell', 'a'), None)","('-', 0)","(('fell', 'a', '-'), None)","('doting', 2)"
"('fell', 1)","('a', 1)","('-', 0)","(('a', '-'), None)","('doting', 2)","(('a', '-', 'doting'), None)","(',', 0)"
"('a', 1)","('-', 0)","('doting', 2)","(('-', 'doting'), None)","(',', 0)","(('-', 'doting', ','), None)","('\n', 0)"
"('-', 0)","('doting', 2)","(',', 0)","(('doting', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('doting', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('by', 1)","(('and', 'by'), None)","('addition', 3)","(('and', 'by', 'addition'), None)","('me', 1)"
"('and', 1)","('by', 1)","('addition', 3)","(('by', 'addition'), None)","('me', 1)","(('by', 'addition', 'me'), None)","('of', 1)"
"('by', 1)","('addition', 3)","('me', 1)","(('addition', 'me'), None)","('of', 1)","(('addition', 'me', 'of'), None)","('thee', 1)"
"('addition', 3)","('me', 1)","('of', 1)","(('me', 'of'), None)","('thee', 1)","(('me', 'of', 'thee'), None)","('defeated', 3)"
"('me', 1)","('of', 1)","('thee', 1)","(('of', 'thee'), None)","('defeated', 3)","(('of', 'thee', 'defeated'), None)","(',', 0)"
"('of', 1)","('thee', 1)","('defeated', 3)","(('thee', 'defeated'), None)","(',', 0)","(('thee', 'defeated', ','), None)","('\n', 0)"
"('thee', 1)","('defeated', 3)","(',', 0)","(('defeated', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('defeated', 3)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('by', 1)","('adding', 2)","(('by', 'adding'), None)","('one', 1)","(('by', 'adding', 'one'), None)","('thing', 1)"
"('by', 1)","('adding', 2)","('one', 1)","(('adding', 'one'), None)","('thing', 1)","(('adding', 'one', 'thing'), None)","('to', 1)"
"('adding', 2)","('one', 1)","('thing', 1)","(('one', 'thing'), None)","('to', 1)","(('one', 'thing', 'to'), None)","('my', 1)"
"('one', 1)","('thing', 1)","('to', 1)","(('thing', 'to'), None)","('my', 1)","(('thing', 'to', 'my'), None)","('purpose', 2)"
"('thing', 1)","('to', 1)","('my', 1)","(('to', 'my'), None)","('purpose', 2)","(('to', 'my', 'purpose'), None)","('nothing', 2)"
"('to', 1)","('my', 1)","('purpose', 2)","(('my', 'purpose'), None)","('nothing', 2)","(('my', 'purpose', 'nothing'), None)","('.', 0)"
"('my', 1)","('purpose', 2)","('nothing', 2)","(('purpose', 'nothing'), None)","('.', 0)","(('purpose', 'nothing', '.'), None)","('\n', 0)"
"('purpose', 2)","('nothing', 2)","('.', 0)","(('nothing', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('nothing', 2)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('but', 1)","('since', 1)","(('but', 'since'), None)","('she', 1)","(('but', 'since', 'she'), None)","(""prick'd"", None)"
"('but', 1)","('since', 1)","('she', 1)","(('since', 'she'), None)","(""prick'd"", None)","(('since', 'she', ""prick'd""), None)","('thee', 1)"
"('since', 1)","('she', 1)","(""prick'd"", None)","(('she', ""prick'd""), None)","('thee', 1)","(('she', ""prick'd"", 'thee'), None)","('out', 1)"
"('she', 1)","(""prick'd"", None)","('thee', 1)","((""prick'd"", 'thee'), None)","('out', 1)","((""prick'd"", 'thee', 'out'), None)","('for', 1)"
"(""prick'd"", None)","('thee', 1)","('out', 1)","(('thee', 'out'), None)","('for', 1)","(('thee', 'out', 'for'), None)","(""women's"", 2)"
"('thee', 1)","('out', 1)","('for', 1)","(('out', 'for'), None)","(""women's"", 2)","(('out', 'for', ""women's""), None)","('pleasure', 2)"
"('out', 1)","('for', 1)","(""women's"", 2)","(('for', ""women's""), None)","('pleasure', 2)","(('for', ""women's"", 'pleasure'), None)","(',', 0)"
"('for', 1)","(""women's"", 2)","('pleasure', 2)","((""women's"", 'pleasure'), None)","(',', 0)","((""women's"", 'pleasure', ','), None)","('\n', 0)"
"(""women's"", 2)","('pleasure', 2)","(',', 0)","(('pleasure', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('pleasure', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('mine', 1)","('be', 1)","(('mine', 'be'), None)","('thy', 1)","(('mine', 'be', 'thy'), None)","('love', 1)"
"('mine', 1)","('be', 1)","('thy', 1)","(('be', 'thy'), None)","('love', 1)","(('be', 'thy', 'love'), None)","('and', 1)"
"('be', 1)","('thy', 1)","('love', 1)","(('thy', 'love'), None)","('and', 1)","(('thy', 'love', 'and'), None)","('thy', 1)"
"('thy', 1)","('love', 1)","('and', 1)","(('love', 'and'), None)","('thy', 1)","(('love', 'and', 'thy'), None)","(""love's"", 1)"
"('love', 1)","('and', 1)","('thy', 1)","(('and', 'thy'), None)","(""love's"", 1)","(('and', 'thy', ""love's""), None)","('use', 1)"
"('and', 1)","('thy', 1)","(""love's"", 1)","(('thy', ""love's""), None)","('use', 1)","(('thy', ""love's"", 'use'), None)","('their', 1)"
"('thy', 1)","(""love's"", 1)","('use', 1)","((""love's"", 'use'), None)","('their', 1)","((""love's"", 'use', 'their'), None)","('treasure', 2)"
"(""love's"", 1)","('use', 1)","('their', 1)","(('use', 'their'), None)","('treasure', 2)","(('use', 'their', 'treasure'), None)","('.', 0)"
"('use', 1)","('their', 1)","('treasure', 2)","(('their', 'treasure'), None)","('.', 0)","(('their', 'treasure', '.'), None)","('\n', 0)"
"('their', 1)","('treasure', 2)","('.', 0)","(('treasure', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('treasure', 2)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('so', 1)","('is', 1)","(('so', 'is'), None)","('it', 1)","(('so', 'is', 'it'), None)","('not', 1)"
"('so', 1)","('is', 1)","('it', 1)","(('is', 'it'), None)","('not', 1)","(('is', 'it', 'not'), None)","('with', 1)"
"('is', 1)","('it', 1)","('not', 1)","(('it', 'not'), None)","('with', 1)","(('it', 'not', 'with'), None)","('me', 1)"
"('it', 1)","('not', 1)","('with', 1)","(('not', 'with'), None)","('me', 1)","(('not', 'with', 'me'), None)","('as', 1)"
"('not', 1)","('with', 1)","('me', 1)","(('with', 'me'), None)","('as', 1)","(('with', 'me', 'as'), None)","('with', 1)"
"('with', 1)","('me', 1)","('as', 1)","(('me', 'as'), None)","('with', 1)","(('me', 'as', 'with'), None)","('that', 1)"
"('me', 1)","('as', 1)","('with', 1)","(('as', 'with'), None)","('that', 1)","(('as', 'with', 'that'), None)","('muse', 1)"
"('as', 1)","('with', 1)","('that', 1)","(('with', 'that'), None)","('muse', 1)","(('with', 'that', 'muse'), None)","('\n', 0)"
"('with', 1)","('that', 1)","('muse', 1)","(('that', 'muse'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('that', 1)","('muse', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","(""stirr'd"", None)","('by', 1)","((""stirr'd"", 'by'), None)","('a', 1)","((""stirr'd"", 'by', 'a'), None)","('painted', 2)"
"(""stirr'd"", None)","('by', 1)","('a', 1)","(('by', 'a'), None)","('painted', 2)","(('by', 'a', 'painted'), None)","('beauty', 2)"
"('by', 1)","('a', 1)","('painted', 2)","(('a', 'painted'), None)","('beauty', 2)","(('a', 'painted', 'beauty'), None)","('to', 1)"
"('a', 1)","('painted', 2)","('beauty', 2)","(('painted', 'beauty'), None)","('to', 1)","(('painted', 'beauty', 'to'), None)","('his', 1)"
"('painted', 2)","('beauty', 2)","('to', 1)","(('beauty', 'to'), None)","('his', 1)","(('beauty', 'to', 'his'), None)","('verse', 1)"
"('beauty', 2)","('to', 1)","('his', 1)","(('to', 'his'), None)","('verse', 1)","(('to', 'his', 'verse'), None)","(',', 0)"
"('to', 1)","('his', 1)","('verse', 1)","(('his', 'verse'), None)","(',', 0)","(('his', 'verse', ','), None)","('\n', 0)"
"('his', 1)","('verse', 1)","(',', 0)","(('verse', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('verse', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('who', 1)","('heaven', 2)","(('who', 'heaven'), None)","('itself', 2)","(('who', 'heaven', 'itself'), None)","('for', 1)"
"('who', 1)","('heaven', 2)","('itself', 2)","(('heaven', 'itself'), None)","('for', 1)","(('heaven', 'itself', 'for'), None)","('ornament', 3)"
"('heaven', 2)","('itself', 2)","('for', 1)","(('itself', 'for'), None)","('ornament', 3)","(('itself', 'for', 'ornament'), None)","('doth', 1)"
"('itself', 2)","('for', 1)","('ornament', 3)","(('for', 'ornament'), None)","('doth', 1)","(('for', 'ornament', 'doth'), None)","('use', 1)"
"('for', 1)","('ornament', 3)","('doth', 1)","(('ornament', 'doth'), None)","('use', 1)","(('ornament', 'doth', 'use'), None)","('\n', 0)"
"('ornament', 3)","('doth', 1)","('use', 1)","(('doth', 'use'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('doth', 1)","('use', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('every', 3)","(('and', 'every'), None)","('fair', 1)","(('and', 'every', 'fair'), None)","('with', 1)"
"('and', 1)","('every', 3)","('fair', 1)","(('every', 'fair'), None)","('with', 1)","(('every', 'fair', 'with'), None)","('his', 1)"
"('every', 3)","('fair', 1)","('with', 1)","(('fair', 'with'), None)","('his', 1)","(('fair', 'with', 'his'), None)","('fair', 1)"
"('fair', 1)","('with', 1)","('his', 1)","(('with', 'his'), None)","('fair', 1)","(('with', 'his', 'fair'), None)","('doth', 1)"
"('with', 1)","('his', 1)","('fair', 1)","(('his', 'fair'), None)","('doth', 1)","(('his', 'fair', 'doth'), None)","('rehearse', 2)"
"('his', 1)","('fair', 1)","('doth', 1)","(('fair', 'doth'), None)","('rehearse', 2)","(('fair', 'doth', 'rehearse'), None)","('\n', 0)"
"('fair', 1)","('doth', 1)","('rehearse', 2)","(('doth', 'rehearse'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('doth', 1)","('rehearse', 2)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('making', 2)","('a', 1)","(('making', 'a'), None)","('couplement', None)","(('making', 'a', 'couplement'), None)","('of', 1)"
"('making', 2)","('a', 1)","('couplement', None)","(('a', 'couplement'), None)","('of', 1)","(('a', 'couplement', 'of'), None)","('proud', 1)"
"('a', 1)","('couplement', None)","('of', 1)","(('couplement', 'of'), None)","('proud', 1)","(('couplement', 'of', 'proud'), None)","('compare', 2)"
"('couplement', None)","('of', 1)","('proud', 1)","(('of', 'proud'), None)","('compare', 2)","(('of', 'proud', 'compare'), None)","(',', 0)"
"('of', 1)","('proud', 1)","('compare', 2)","(('proud', 'compare'), None)","(',', 0)","(('proud', 'compare', ','), None)","('\n', 0)"
"('proud', 1)","('compare', 2)","(',', 0)","(('compare', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('compare', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('with', 1)","('sun', 1)","(('with', 'sun'), None)","('and', 1)","(('with', 'sun', 'and'), None)","('moon', 1)"
"('with', 1)","('sun', 1)","('and', 1)","(('sun', 'and'), None)","('moon', 1)","(('sun', 'and', 'moon'), None)","(',', 0)"
"('sun', 1)","('and', 1)","('moon', 1)","(('and', 'moon'), None)","(',', 0)","(('and', 'moon', ','), None)","('with', 1)"
"('and', 1)","('moon', 1)","(',', 0)","(('moon', ','), None)","('with', 1)","(('moon', ',', 'with'), None)","('earth', 1)"
"('moon', 1)","(',', 0)","('with', 1)","((',', 'with'), None)","('earth', 1)","((',', 'with', 'earth'), None)","('and', 1)"
"(',', 0)","('with', 1)","('earth', 1)","(('with', 'earth'), None)","('and', 1)","(('with', 'earth', 'and'), None)","(""sea's"", 1)"
"('with', 1)","('earth', 1)","('and', 1)","(('earth', 'and'), None)","(""sea's"", 1)","(('earth', 'and', ""sea's""), None)","('rich', 1)"
"('earth', 1)","('and', 1)","(""sea's"", 1)","(('and', ""sea's""), None)","('rich', 1)","(('and', ""sea's"", 'rich'), None)","('gems', 1)"
"('and', 1)","(""sea's"", 1)","('rich', 1)","((""sea's"", 'rich'), None)","('gems', 1)","((""sea's"", 'rich', 'gems'), None)","(',', 0)"
"(""sea's"", 1)","('rich', 1)","('gems', 1)","(('rich', 'gems'), None)","(',', 0)","(('rich', 'gems', ','), None)","('\n', 0)"
"('rich', 1)","('gems', 1)","(',', 0)","(('gems', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('gems', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('with', 1)","(""april's"", 2)","(('with', ""april's""), None)","('first', 1)","(('with', ""april's"", 'first'), None)","('-', 0)"
"('with', 1)","(""april's"", 2)","('first', 1)","((""april's"", 'first'), None)","('-', 0)","((""april's"", 'first', '-'), None)","('born', 1)"
"(""april's"", 2)","('first', 1)","('-', 0)","(('first', '-'), None)","('born', 1)","(('first', '-', 'born'), None)","('flowers', 2)"
"('first', 1)","('-', 0)","('born', 1)","(('-', 'born'), None)","('flowers', 2)","(('-', 'born', 'flowers'), None)","(',', 0)"
"('-', 0)","('born', 1)","('flowers', 2)","(('born', 'flowers'), None)","(',', 0)","(('born', 'flowers', ','), None)","('and', 1)"
"('born', 1)","('flowers', 2)","(',', 0)","(('flowers', ','), None)","('and', 1)","(('flowers', ',', 'and'), None)","('all', 1)"
"('flowers', 2)","(',', 0)","('and', 1)","((',', 'and'), None)","('all', 1)","((',', 'and', 'all'), None)","('things', 1)"
"(',', 0)","('and', 1)","('all', 1)","(('and', 'all'), None)","('things', 1)","(('and', 'all', 'things'), None)","('rare', 1)"
"('and', 1)","('all', 1)","('things', 1)","(('all', 'things'), None)","('rare', 1)","(('all', 'things', 'rare'), None)","('\n', 0)"
"('all', 1)","('things', 1)","('rare', 1)","(('things', 'rare'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('things', 1)","('rare', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('that', 1)","(""heaven's"", 2)","(('that', ""heaven's""), None)","('air', 1)","(('that', ""heaven's"", 'air'), None)","('in', 1)"
"('that', 1)","(""heaven's"", 2)","('air', 1)","((""heaven's"", 'air'), None)","('in', 1)","((""heaven's"", 'air', 'in'), None)","('this', 1)"
"(""heaven's"", 2)","('air', 1)","('in', 1)","(('air', 'in'), None)","('this', 1)","(('air', 'in', 'this'), None)","('huge', 1)"
"('air', 1)","('in', 1)","('this', 1)","(('in', 'this'), None)","('huge', 1)","(('in', 'this', 'huge'), None)","('rondure', None)"
"('in', 1)","('this', 1)","('huge', 1)","(('this', 'huge'), None)","('rondure', None)","(('this', 'huge', 'rondure'), None)","('hems', 1)"
"('this', 1)","('huge', 1)","('rondure', None)","(('huge', 'rondure'), None)","('hems', 1)","(('huge', 'rondure', 'hems'), None)","('.', 0)"
"('huge', 1)","('rondure', None)","('hems', 1)","(('rondure', 'hems'), None)","('.', 0)","(('rondure', 'hems', '.'), None)","('\n', 0)"
"('rondure', None)","('hems', 1)","('.', 0)","(('hems', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('hems', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","(""o'"", 1)","('let', 1)","((""o'"", 'let'), None)","('me', 1)","((""o'"", 'let', 'me'), None)","(',', 0)"
"(""o'"", 1)","('let', 1)","('me', 1)","(('let', 'me'), None)","(',', 0)","(('let', 'me', ','), None)","('true', 1)"
"('let', 1)","('me', 1)","(',', 0)","(('me', ','), None)","('true', 1)","(('me', ',', 'true'), None)","('in', 1)"
"('me', 1)","(',', 0)","('true', 1)","((',', 'true'), None)","('in', 1)","((',', 'true', 'in'), None)","('love', 1)"
"(',', 0)","('true', 1)","('in', 1)","(('true', 'in'), None)","('love', 1)","(('true', 'in', 'love'), None)","(',', 0)"
"('true', 1)","('in', 1)","('love', 1)","(('in', 'love'), None)","(',', 0)","(('in', 'love', ','), None)","('but', 1)"
"('in', 1)","('love', 1)","(',', 0)","(('love', ','), None)","('but', 1)","(('love', ',', 'but'), None)","('truly', 2)"
"('love', 1)","(',', 0)","('but', 1)","((',', 'but'), None)","('truly', 2)","((',', 'but', 'truly'), None)","('write', 1)"
"(',', 0)","('but', 1)","('truly', 2)","(('but', 'truly'), None)","('write', 1)","(('but', 'truly', 'write'), None)","(',', 0)"
"('but', 1)","('truly', 2)","('write', 1)","(('truly', 'write'), None)","(',', 0)","(('truly', 'write', ','), None)","('\n', 0)"
"('truly', 2)","('write', 1)","(',', 0)","(('write', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('write', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('then', 1)","(('and', 'then'), None)","('believe', 2)","(('and', 'then', 'believe'), None)","('me', 1)"
"('and', 1)","('then', 1)","('believe', 2)","(('then', 'believe'), None)","('me', 1)","(('then', 'believe', 'me'), None)","(',', 0)"
"('then', 1)","('believe', 2)","('me', 1)","(('believe', 'me'), None)","(',', 0)","(('believe', 'me', ','), None)","('my', 1)"
"('believe', 2)","('me', 1)","(',', 0)","(('me', ','), None)","('my', 1)","(('me', ',', 'my'), None)","('love', 1)"
"('me', 1)","(',', 0)","('my', 1)","((',', 'my'), None)","('love', 1)","((',', 'my', 'love'), None)","('is', 1)"
"(',', 0)","('my', 1)","('love', 1)","(('my', 'love'), None)","('is', 1)","(('my', 'love', 'is'), None)","('as', 1)"
"('my', 1)","('love', 1)","('is', 1)","(('love', 'is'), None)","('as', 1)","(('love', 'is', 'as'), None)","('fair', 1)"
"('love', 1)","('is', 1)","('as', 1)","(('is', 'as'), None)","('fair', 1)","(('is', 'as', 'fair'), None)","('\n', 0)"
"('is', 1)","('as', 1)","('fair', 1)","(('as', 'fair'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('as', 1)","('fair', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('as', 1)","('any', 2)","(('as', 'any'), None)","(""mother's"", 2)","(('as', 'any', ""mother's""), None)","('child', 1)"
"('as', 1)","('any', 2)","(""mother's"", 2)","(('any', ""mother's""), None)","('child', 1)","(('any', ""mother's"", 'child'), None)","(',', 0)"
"('any', 2)","(""mother's"", 2)","('child', 1)","((""mother's"", 'child'), None)","(',', 0)","((""mother's"", 'child', ','), None)","('though', 1)"
"(""mother's"", 2)","('child', 1)","(',', 0)","(('child', ','), None)","('though', 1)","(('child', ',', 'though'), None)","('not', 1)"
"('child', 1)","(',', 0)","('though', 1)","((',', 'though'), None)","('not', 1)","((',', 'though', 'not'), None)","('so', 1)"
"(',', 0)","('though', 1)","('not', 1)","(('though', 'not'), None)","('so', 1)","(('though', 'not', 'so'), None)","('bright', 1)"
"('though', 1)","('not', 1)","('so', 1)","(('not', 'so'), None)","('bright', 1)","(('not', 'so', 'bright'), None)","('\n', 0)"
"('not', 1)","('so', 1)","('bright', 1)","(('so', 'bright'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('so', 1)","('bright', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('as', 1)","('those', 1)","(('as', 'those'), None)","('gold', 1)","(('as', 'those', 'gold'), None)","('candles', 2)"
"('as', 1)","('those', 1)","('gold', 1)","(('those', 'gold'), None)","('candles', 2)","(('those', 'gold', 'candles'), None)","(""fix'd"", None)"
"('those', 1)","('gold', 1)","('candles', 2)","(('gold', 'candles'), None)","(""fix'd"", None)","(('gold', 'candles', ""fix'd""), None)","('in', 1)"
"('gold', 1)","('candles', 2)","(""fix'd"", None)","(('candles', ""fix'd""), None)","('in', 1)","(('candles', ""fix'd"", 'in'), None)","(""heaven's"", 2)"
"('candles', 2)","(""fix'd"", None)","('in', 1)","((""fix'd"", 'in'), None)","(""heaven's"", 2)","((""fix'd"", 'in', ""heaven's""), None)","('air', 1)"
"(""fix'd"", None)","('in', 1)","(""heaven's"", 2)","(('in', ""heaven's""), None)","('air', 1)","(('in', ""heaven's"", 'air'), None)","(':', None)"
"('in', 1)","(""heaven's"", 2)","('air', 1)","((""heaven's"", 'air'), None)","(':', None)","((""heaven's"", 'air', ':'), None)","('\n', 0)"
"(""heaven's"", 2)","('air', 1)","(':', None)","(('air', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('air', 1)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('let', 1)","('them', 1)","(('let', 'them'), None)","('say', 1)","(('let', 'them', 'say'), None)","('more', 1)"
"('let', 1)","('them', 1)","('say', 1)","(('them', 'say'), None)","('more', 1)","(('them', 'say', 'more'), None)","('than', 1)"
