title,couplet number,couplet
Sonnet XLV,2,"For when these quicker elements are gone/In tender embassy of love to thee,"
Sonnet XLV,3,"My life, being made of four, with two alone/Sinks down to death, oppress'd with melancholy;"
Sonnet XLV,4,"Until life's composition be recured/By those swift messengers return'd from thee,"
Sonnet XLV,5,"Who even but now come back again, assured/Of thy fair health, recounting it to me:"
Sonnet XLV,6,"  This told, I joy; but then no longer glad,/  I send them back again and straight grow sad."
Sonnet XLVI,0,Mine eye and heart are at a mortal war/How to divide the conquest of thy sight;
Sonnet XLVI,1,"Mine eye my heart thy picture's sight would bar,/My heart mine eye the freedom of that right."
Sonnet XLVI,2,My heart doth plead that thou in him dost lie--/A closet never pierced with crystal eyes--
Sonnet XLVI,3,But the defendant doth that plea deny/And says in him thy fair appearance lies.
Sonnet XLVI,4,"To 'cide this title is impanneled/A quest of thoughts, all tenants to the heart,"
Sonnet XLVI,5,And by their verdict is determined/The clear eye's moiety and the dear heart's part:
Sonnet XLVI,6,"  As thus; mine eye's due is thy outward part,/  And my heart's right thy inward love of heart."
Sonnet XLVII,0,"Betwixt mine eye and heart a league is took,/And each doth good turns now unto the other:"
Sonnet XLVII,1,"When that mine eye is famish'd for a look,/Or heart in love with sighs himself doth smother,"
Sonnet XLVII,2,With my love's picture then my eye doth feast/And to the painted banquet bids my heart;
Sonnet XLVII,3,Another time mine eye is my heart's guest/And in his thoughts of love doth share a part:
Sonnet XLVII,4,"So, either by thy picture or my love,/Thyself away art resent still with me;"
Sonnet XLVII,5,"For thou not farther than my thoughts canst move,/And I am still with them and they with thee;"
Sonnet XLVII,6,"  Or, if they sleep, thy picture in my sight/  Awakes my heart to heart's and eye's delight."
Sonnet XLVIII,0,"How careful was I, when I took my way,/Each trifle under truest bars to thrust,"
Sonnet XLVIII,1,"That to my use it might unused stay/From hands of falsehood, in sure wards of trust!"
Sonnet XLVIII,2,"But thou, to whom my jewels trifles are,/Most worthy of comfort, now my greatest grief,"
Sonnet XLVIII,3,"Thou, best of dearest and mine only care,/Art left the prey of every vulgar thief."
Sonnet XLVIII,4,"Thee have I not lock'd up in any chest,/Save where thou art not, though I feel thou art,"
Sonnet XLVIII,5,"Within the gentle closure of my breast,/From whence at pleasure thou mayst come and part;"
Sonnet XLVIII,6,"  And even thence thou wilt be stol'n, I fear,/  For truth proves thievish for a prize so dear."
Sonnet XLIX,0,"Against that time, if ever that time come,/When I shall see thee frown on my defects,"
Sonnet XLIX,1,"When as thy love hath cast his utmost sum,/Call'd to that audit by advised respects;"
Sonnet XLIX,2,"Against that time when thou shalt strangely pass/And scarcely greet me with that sun thine eye,"
Sonnet XLIX,3,"When love, converted from the thing it was,/Shall reasons find of settled gravity,--"
Sonnet XLIX,4,"Against that time do I ensconce me here/Within the knowledge of mine own desert,"
Sonnet XLIX,5,"And this my hand against myself uprear,/To guard the lawful reasons on thy part:"
Sonnet XLIX,6,"  To leave poor me thou hast the strength of laws,/  Since why to love I can allege no cause."
Sonnet L,0,"How heavy do I journey on the way,/When what I seek, my weary travel's end,"
Sonnet L,1,Doth teach that ease and that repose to say/'Thus far the miles are measured from thy friend!'
Sonnet L,2,"The beast that bears me, tired with my woe,/Plods dully on, to bear that weight in me,"
Sonnet L,3,"As if by some instinct the wretch did know/His rider loved not speed, being made from thee:"
Sonnet L,4,The bloody spur cannot provoke him on/That sometimes anger thrusts into his hide;
Sonnet L,5,"Which heavily he answers with a groan,/More sharp to me than spurring to his side;"
Sonnet L,6,  For that same groan doth put this in my mind;/  My grief lies onward and my joy behind.
Sonnet LI,0,Thus can my love excuse the slow offence/Of my dull bearer when from thee I speed:
Sonnet LI,1,"From where thou art why should I haste me thence?/Till I return, of posting is no need."
Sonnet LI,2,"O, what excuse will my poor beast then find,/When swift extremity can seem but slow?"
Sonnet LI,3,"Then should I spur, though mounted on the wind;/In winged speed no motion shall I know:"
Sonnet LI,4,"Then can no horse with my desire keep pace;/Therefore desire of perfect'st love being made,"
Sonnet LI,5,"Shall neigh--no dull flesh--in his fiery race;/But love, for love, thus shall excuse my jade;"
Sonnet LI,6,"  Since from thee going he went wilful-slow,/  Towards thee I'll run, and give him leave to go."
Sonnet LII,0,"So am I as the rich, whose blessed key/Can bring him to his sweet up-locked treasure,"
Sonnet LII,1,"The which he will not every hour survey,/For blunting the fine point of seldom pleasure."
Sonnet LII,2,"Therefore are feasts so solemn and so rare,/Since, seldom coming, in the long year set,"
Sonnet LII,3,"Like stones of worth they thinly placed are,/Or captain jewels in the carcanet."
Sonnet LII,4,"So is the time that keeps you as my chest,/Or as the wardrobe which the robe doth hide,"
Sonnet LII,5,"To make some special instant special blest,/By new unfolding his imprison'd pride."
Sonnet LII,6,"  Blessed are you, whose worthiness gives scope,/  Being had, to triumph, being lack'd, to hope."
Sonnet LIII,0,"What is your substance, whereof are you made,/That millions of strange shadows on you tend?"
Sonnet LIII,1,"Since every one hath, every one, one shade,/And you, but one, can every shadow lend."
Sonnet LIII,2,"Describe Adonis, and the counterfeit/Is poorly imitated after you;"
Sonnet LIII,3,"On Helen's cheek all art of beauty set,/And you in Grecian tires are painted new:"
Sonnet LIII,4,"Speak of the spring and foison of the year;/The one doth shadow of your beauty show,"
Sonnet LIII,5,The other as your bounty doth appear;/And you in every blessed shape we know.
Sonnet LIII,6,"  In all external grace you have some part,/  But you like none, none you, for constant heart."
Sonnet LIV,0,"O, how much more doth beauty beauteous seem/By that sweet ornament which truth doth give!"
Sonnet LIV,1,"The rose looks fair, but fairer we it deem/For that sweet odour which doth in it live."
Sonnet LIV,2,"The canker-blooms have full as deep a dye/As the perfumed tincture of the roses,"
Sonnet LIV,3,Hang on such thorns and play as wantonly/When summer's breath their masked buds discloses:
Sonnet LIV,4,"But, for their virtue only is their show,/They live unwoo'd and unrespected fade,"
Sonnet LIV,5,Die to themselves. Sweet roses do not so;/Of their sweet deaths are sweetest odours made:
Sonnet LIV,6,"  And so of you, beauteous and lovely youth,/  When that shall fade, my verse distills your truth."
Sonnet LV,0,"Not marble, nor the gilded monuments/Of princes, shall outlive this powerful rhyme;"
Sonnet LV,1,But you shall shine more bright in these contents/Than unswept stone besmear'd with sluttish time.
Sonnet LV,2,"When wasteful war shall statues overturn,/And broils root out the work of masonry,"
Sonnet LV,3,Nor Mars his sword nor war's quick fire shall burn/The living record of your memory.
Sonnet LV,4,'Gainst death and all-oblivious enmity/Shall you pace forth; your praise shall still find room
Sonnet LV,5,Even in the eyes of all posterity/That wear this world out to the ending doom.
Sonnet LV,6,"  So, till the judgment that yourself arise,/  You live in this, and dwell in lover's eyes."
Sonnet LVI,0,"Sweet love, renew thy force; be it not said/Thy edge should blunter be than appetite,"
Sonnet LVI,1,"Which but to-day by feeding is allay'd,/To-morrow sharpen'd in his former might:"
Sonnet LVI,2,"So, love, be thou; although to-day thou fill/Thy hungry eyes even till they wink with fullness,"
Sonnet LVI,3,"To-morrow see again, and do not kill/The spirit of love with a perpetual dullness."
Sonnet LVI,4,"Let this sad interim like the ocean be/Which parts the shore, where two contracted new"
Sonnet LVI,5,"Come daily to the banks, that, when they see/Return of love, more blest may be the view;"
Sonnet LVI,6,"  Else call it winter, which being full of care/  Makes summer's welcome thrice more wish'd, more rare."
Sonnet LVII,0,"Being your slave, what should I do but tend/Upon the hours and times of your desire?"
Sonnet LVII,1,"I have no precious time at all to spend,/Nor services to do, till you require."
Sonnet LVII,2,"Nor dare I chide the world-without-end hour/Whilst I, my sovereign, watch the clock for you,"
Sonnet LVII,3,Nor think the bitterness of absence sour/When you have bid your servant once adieu;
Sonnet LVII,4,"Nor dare I question with my jealous thought/Where you may be, or your affairs suppose,"
Sonnet LVII,5,"But, like a sad slave, stay and think of nought/Save, where you are how happy you make those."
Sonnet LVII,6,"  So true a fool is love that in your will,/  Though you do any thing, he thinks no ill."
Sonnet LVIII,0,"That god forbid that made me first your slave,/I should in thought control your times of pleasure,"
Sonnet LVIII,1,"Or at your hand the account of hours to crave,/Being your vassal, bound to stay your leisure!"
Sonnet LVIII,2,"O, let me suffer, being at your beck,/The imprison'd absence of your liberty;"
Sonnet LVIII,3,"And patience, tame to sufferance, bide each cheque,/Without accusing you of injury."
Sonnet LVIII,4,"Be where you list, your charter is so strong/That you yourself may privilege your time"
Sonnet LVIII,5,To what you will; to you it doth belong/Yourself to pardon of self-doing crime.
Sonnet LVIII,6,"  I am to wait, though waiting so be hell;/  Not blame your pleasure, be it ill or well."
Sonnet LIX,0,"If there be nothing new, but that which is/Hath been before, how are our brains beguiled,"
Sonnet LIX,1,"Which, labouring for invention, bear amiss/The second burden of a former child!"
Sonnet LIX,2,"O, that record could with a backward look,/Even of five hundred courses of the sun,"
Sonnet LIX,3,"Show me your image in some antique book,/Since mind at first in character was done!"
Sonnet LIX,4,That I might see what the old world could say/To this composed wonder of your frame;
Sonnet LIX,5,"Whether we are mended, or whether better they,/Or whether revolution be the same."
Sonnet LIX,6,"  O, sure I am, the wits of former days/  To subjects worse have given admiring praise."
Sonnet LX,0,"Like as the waves make towards the pebbled shore,/So do our minutes hasten to their end;"
Sonnet LX,1,"Each changing place with that which goes before,/In sequent toil all forwards do contend."
Sonnet LX,2,"Nativity, once in the main of light,/Crawls to maturity, wherewith being crown'd,"
Sonnet LX,3,"Crooked elipses 'gainst his glory fight,/And Time that gave doth now his gift confound."
Sonnet LX,4,"Time doth transfix the flourish set on youth/And delves the parallels in beauty's brow,"
Sonnet LX,5,"Feeds on the rarities of nature's truth,/And nothing stands but for his scythe to mow:"
Sonnet LX,6,"  And yet to times in hope my verse shall stand,/  Praising thy worth, despite his cruel hand."
Sonnet LXI,0,Is it thy will thy image should keep open/My heavy eyelids to the weary night?
Sonnet LXI,1,"Dost thou desire my slumbers should be broken,/While shadows like to thee do mock my sight?"
Sonnet LXI,2,"Is it thy spirit that thou send'st from thee/So far from home into my deeds to pry,"
Sonnet LXI,3,"To find out shames and idle hours in me,/The scope and tenor of thy jealousy?"
Sonnet LXI,4,"O, no! thy love, though much, is not so great:/It is my love that keeps mine eye awake;"
Sonnet LXI,5,"Mine own true love that doth my rest defeat,/To play the watchman ever for thy sake:"
Sonnet LXI,6,"  For thee watch I whilst thou dost wake elsewhere,/  From me far off, with others all too near."
Sonnet LXII,0,Sin of self-love possesseth all mine eye/And all my soul and all my every part;
Sonnet LXII,1,"And for this sin there is no remedy,/It is so grounded inward in my heart."
Sonnet LXII,2,"Methinks no face so gracious is as mine,/No shape so true, no truth of such account;"
Sonnet LXII,3,"And for myself mine own worth do define,/As I all other in all worths surmount."
Sonnet LXII,4,"But when my glass shows me myself indeed,/Beated and chopp'd with tann'd antiquity,"
Sonnet LXII,5,Mine own self-love quite contrary I read;/Self so self-loving were iniquity.
Sonnet LXII,6,"  'Tis thee, myself, that for myself I praise,/  Painting my age with beauty of thy days."
Sonnet LXIII,0,"Against my love shall be, as I am now,/With Time's injurious hand crush'd and o'er-worn;"
Sonnet LXIII,1,When hours have drain'd his blood and fill'd his brow/With lines and wrinkles; when his youthful morn
Sonnet LXIII,2,"Hath travell'd on to age's steepy night,/And all those beauties whereof now he's king"
Sonnet LXIII,3,"Are vanishing or vanish'd out of sight,/Stealing away the treasure of his spring;"
Sonnet LXIII,4,"For such a time do I now fortify/Against confounding age's cruel knife,"
Sonnet LXIII,5,"That he shall never cut from memory/My sweet love's beauty, though my lover's life:"
Sonnet LXIII,6,"  His beauty shall in these black lines be seen,/  And they shall live, and he in them still green."
Sonnet LXIV,0,When I have seen by Time's fell hand defaced/The rich proud cost of outworn buried age;
Sonnet LXIV,1,When sometime lofty towers I see down-razed/And brass eternal slave to mortal rage;
Sonnet LXIV,2,"When I have seen the hungry ocean gain/Advantage on the kingdom of the shore,"
Sonnet LXIV,3,"And the firm soil win of the watery main,/Increasing store with loss and loss with store;"
Sonnet LXIV,4,"When I have seen such interchange of state,/Or state itself confounded to decay;"
Sonnet LXIV,5,"Ruin hath taught me thus to ruminate,/That Time will come and take my love away."
Sonnet LXIV,6,"  This thought is as a death, which cannot choose/  But weep to have that which it fears to lose."
Sonnet LXV,0,"Since brass, nor stone, nor earth, nor boundless sea,/But sad mortality o'er-sways their power,"
Sonnet LXV,1,"How with this rage shall beauty hold a plea,/Whose action is no stronger than a flower?"
Sonnet LXV,2,"O, how shall summer's honey breath hold out/Against the wreckful siege of battering days,"
Sonnet LXV,3,"When rocks impregnable are not so stout,/Nor gates of steel so strong, but Time decays?"
Sonnet LXV,4,"O fearful meditation! where, alack,/Shall Time's best jewel from Time's chest lie hid?"
Sonnet LXV,5,Or what strong hand can hold his swift foot back?/Or who his spoil of beauty can forbid?
Sonnet LXV,6,"  O, none, unless this miracle have might,/  That in black ink my love may still shine bright."
Sonnet LXVI,0,"Tired with all these, for restful death I cry,/As, to behold desert a beggar born,"
Sonnet LXVI,1,"And needy nothing trimm'd in jollity,/And purest faith unhappily forsworn,"
Sonnet LXVI,2,"And guilded honour shamefully misplaced,/And maiden virtue rudely strumpeted,"
Sonnet LXVI,3,"And right perfection wrongfully disgraced,/And strength by limping sway disabled,"
Sonnet LXVI,4,"And art made tongue-tied by authority,/And folly doctor-like controlling skill,"
Sonnet LXVI,5,"And simple truth miscall'd simplicity,/And captive good attending captain ill:"
Sonnet LXVI,6,"  Tired with all these, from these would I be gone,/  Save that, to die, I leave my love alone."
Sonnet LXVII,0,"Ah! wherefore with infection should he live,/And with his presence grace impiety,"
Sonnet LXVII,1,That sin by him advantage should achieve/And lace itself with his society?
Sonnet LXVII,2,Why should false painting imitate his cheek/And steal dead seeing of his living hue?
Sonnet LXVII,3,"Why should poor beauty indirectly seek/Roses of shadow, since his rose is true?"
Sonnet LXVII,4,"Why should he live, now Nature bankrupt is,/Beggar'd of blood to blush through lively veins?"
Sonnet LXVII,5,"For she hath no exchequer now but his,/And, proud of many, lives upon his gains."
Sonnet LXVII,6,"  O, him she stores, to show what wealth she had/  In days long since, before these last so bad."
Sonnet LXVIII,0,"Thus is his cheek the map of days outworn,/When beauty lived and died as flowers do now,"
Sonnet LXVIII,1,"Before the bastard signs of fair were born,/Or durst inhabit on a living brow;"
Sonnet LXVIII,2,"Before the golden tresses of the dead,/The right of sepulchres, were shorn away,"
Sonnet LXVIII,3,To live a second life on second head;/Ere beauty's dead fleece made another gay:
Sonnet LXVIII,4,"In him those holy antique hours are seen,/Without all ornament, itself and true,"
Sonnet LXVIII,5,"Making no summer of another's green,/Robbing no old to dress his beauty new;"
Sonnet LXVIII,6,"  And him as for a map doth Nature store,/  To show false Art what beauty was of yore."
Sonnet LXIX,0,Those parts of thee that the world's eye doth view/Want nothing that the thought of hearts can mend;
Sonnet LXIX,1,"All tongues, the voice of souls, give thee that due,/Uttering bare truth, even so as foes commend."
Sonnet LXIX,2,Thy outward thus with outward praise is crown'd;/But those same tongues that give thee so thine own
Sonnet LXIX,3,In other accents do this praise confound/By seeing farther than the eye hath shown.
Sonnet LXIX,4,"They look into the beauty of thy mind,/And that, in guess, they measure by thy deeds;"
Sonnet LXIX,5,"Then, churls, their thoughts, although their eyes were kind,/To thy fair flower add the rank smell of weeds:"
Sonnet LXIX,6,"  But why thy odour matcheth not thy show,/  The solve is this, that thou dost common grow."
Sonnet LXX,0,"That thou art blamed shall not be thy defect,/For slander's mark was ever yet the fair;"
Sonnet LXX,1,"The ornament of beauty is suspect,/A crow that flies in heaven's sweetest air."
Sonnet LXX,2,"So thou be good, slander doth but approve/Thy worth the greater, being woo'd of time;"
Sonnet LXX,3,"For canker vice the sweetest buds doth love,/And thou present'st a pure unstained prime."
Sonnet LXX,4,"Thou hast pass'd by the ambush of young days,/Either not assail'd or victor being charged;"
Sonnet LXX,5,"Yet this thy praise cannot be so thy praise,/To tie up envy evermore enlarged:"
Sonnet LXX,6,"  If some suspect of ill mask'd not thy show,/  Then thou alone kingdoms of hearts shouldst owe."
Sonnet LXXI,0,No longer mourn for me when I am dead/Then you shall hear the surly sullen bell
Sonnet LXXI,1,"Give warning to the world that I am fled/From this vile world, with vilest worms to dwell:"
Sonnet LXXI,2,"Nay, if you read this line, remember not/The hand that writ it; for I love you so"
Sonnet LXXI,3,That I in your sweet thoughts would be forgot/If thinking on me then should make you woe.
Sonnet LXXI,4,"O, if, I say, you look upon this verse/When I perhaps compounded am with clay,"
Sonnet LXXI,5,"Do not so much as my poor name rehearse./But let your love even with my life decay,"
Sonnet LXXI,6,  Lest the wise world should look into your moan/  And mock you with me after I am gone.
Sonnet LXXII,0,"O, lest the world should task you to recite/What merit lived in me, that you should love"
Sonnet LXXII,1,"After my death, dear love, forget me quite,/For you in me can nothing worthy prove;"
Sonnet LXXII,2,"Unless you would devise some virtuous lie,/To do more for me than mine own desert,"
Sonnet LXXII,3,And hang more praise upon deceased I/Than niggard truth would willingly impart:
Sonnet LXXII,4,"O, lest your true love may seem false in this,/That you for love speak well of me untrue,"
Sonnet LXXII,5,"My name be buried where my body is,/And live no more to shame nor me nor you."
Sonnet LXXII,6,"  For I am shamed by that which I bring forth,/  And so should you, to love things nothing worth."
Sonnet LXXIII,0,"That time of year thou mayst in me behold/When yellow leaves, or none, or few, do hang"
Sonnet LXXIII,1,"Upon those boughs which shake against the cold,/Bare ruin'd choirs, where late the sweet birds sang."
Sonnet LXXIII,2,"In me thou seest the twilight of such day/As after sunset fadeth in the west,"
Sonnet LXXIII,3,"Which by and by black night doth take away,/Death's second self, that seals up all in rest."
Sonnet LXXIII,4,"In me thou see'st the glowing of such fire/That on the ashes of his youth doth lie,"
Sonnet LXXIII,5,As the death-bed whereon it must expire/Consumed with that which it was nourish'd by.
Sonnet LXXIII,6,"  This thou perceivest, which makes thy love more strong,/  To love that well which thou must leave ere long."
Sonnet LXXIV,0,"But be contented: when that fell arrest/Without all bail shall carry me away,"
Sonnet LXXIV,1,"My life hath in this line some interest,/Which for memorial still with thee shall stay."
Sonnet LXXIV,2,"When thou reviewest this, thou dost review/The very part was consecrate to thee:"
Sonnet LXXIV,3,"The earth can have but earth, which is his due;/My spirit is thine, the better part of me:"
Sonnet LXXIV,4,"So then thou hast but lost the dregs of life,/The prey of worms, my body being dead,"
Sonnet LXXIV,5,"The coward conquest of a wretch's knife,/Too base of thee to be remembered."
Sonnet LXXIV,6,"  The worth of that is that which it contains,/  And that is this, and this with thee remains."
Sonnet LXXV,0,"So are you to my thoughts as food to life,/Or as sweet-season'd showers are to the ground;"
Sonnet LXXV,1,And for the peace of you I hold such strife/As 'twixt a miser and his wealth is found;
Sonnet LXXV,2,"Now proud as an enjoyer and anon/Doubting the filching age will steal his treasure,"
Sonnet LXXV,3,"Now counting best to be with you alone,/Then better'd that the world may see my pleasure;"
Sonnet LXXV,4,Sometime all full with feasting on your sight/And by and by clean starved for a look;
Sonnet LXXV,5,"Possessing or pursuing no delight,/Save what is had or must from you be took."
Sonnet LXXV,6,"  Thus do I pine and surfeit day by day,/  Or gluttoning on all, or all away."
Sonnet LXXVI,0,"Why is my verse so barren of new pride,/So far from variation or quick change?"
Sonnet LXXVI,1,Why with the time do I not glance aside/To new-found methods and to compounds strange?
Sonnet LXXVI,2,"Why write I still all one, ever the same,/And keep invention in a noted weed,"
Sonnet LXXVI,3,"That every word doth almost tell my name,/Showing their birth and where they did proceed?"
Sonnet LXXVI,4,"O, know, sweet love, I always write of you,/And you and love are still my argument;"
Sonnet LXXVI,5,"So all my best is dressing old words new,/Spending again what is already spent:"
Sonnet LXXVI,6,"  For as the sun is daily new and old,/  So is my love still telling what is told."
Sonnet LXXVII,0,"Thy glass will show thee how thy beauties wear,/Thy dial how thy precious minutes waste;"
Sonnet LXXVII,1,"The vacant leaves thy mind's imprint will bear,/And of this book this learning mayst thou taste."
Sonnet LXXVII,2,The wrinkles which thy glass will truly show/Of mouthed graves will give thee memory;
Sonnet LXXVII,3,Thou by thy dial's shady stealth mayst know/Time's thievish progress to eternity.
Sonnet LXXVII,4,"Look, what thy memory can not contain/Commit to these waste blanks, and thou shalt find"
Sonnet LXXVII,5,"Those children nursed, deliver'd from thy brain,/To take a new acquaintance of thy mind."
Sonnet LXXVII,6,"  These offices, so oft as thou wilt look,/  Shall profit thee and much enrich thy book."
Sonnet LXXVIII,0,So oft have I invoked thee for my Muse/And found such fair assistance in my verse
Sonnet LXXVIII,1,As every alien pen hath got my use/And under thee their poesy disperse.
Sonnet LXXVIII,2,Thine eyes that taught the dumb on high to sing/And heavy ignorance aloft to fly
Sonnet LXXVIII,3,Have added feathers to the learned's wing/And given grace a double majesty.
Sonnet LXXVIII,4,"Yet be most proud of that which I compile,/Whose influence is thine and born of thee:"
Sonnet LXXVIII,5,"In others' works thou dost but mend the style,/And arts with thy sweet graces graced be;"
Sonnet LXXVIII,6,  But thou art all my art and dost advance/  As high as learning my rude ignorance.
Sonnet LXXIX,0,"Whilst I alone did call upon thy aid,/My verse alone had all thy gentle grace,"
Sonnet LXXIX,1,But now my gracious numbers are decay'd/And my sick Muse doth give another place.
Sonnet LXXIX,2,"I grant, sweet love, thy lovely argument/Deserves the travail of a worthier pen,"
Sonnet LXXIX,3,Yet what of thee thy poet doth invent/He robs thee of and pays it thee again.
Sonnet LXXIX,4,He lends thee virtue and he stole that word/From thy behavior; beauty doth he give
Sonnet LXXIX,5,And found it in thy cheek; he can afford/No praise to thee but what in thee doth live.
Sonnet LXXIX,6,"  Then thank him not for that which he doth say,/  Since what he owes thee thou thyself dost pay."
Sonnet LXXX,0,"O, how I faint when I of you do write,/Knowing a better spirit doth use your name,"
Sonnet LXXX,1,"And in the praise thereof spends all his might,/To make me tongue-tied, speaking of your fame!"
Sonnet LXXX,2,"But since your worth, wide as the ocean is,/The humble as the proudest sail doth bear,"
Sonnet LXXX,3,My saucy bark inferior far to his/On your broad main doth wilfully appear.
Sonnet LXXX,4,"Your shallowest help will hold me up afloat,/Whilst he upon your soundless deep doth ride;"
Sonnet LXXX,5,"Or being wreck'd, I am a worthless boat,/He of tall building and of goodly pride:"
Sonnet LXXX,6,"  Then if he thrive and I be cast away,/  The worst was this; my love was my decay."
Sonnet LXXXI,0,"Or I shall live your epitaph to make,/Or you survive when I in earth am rotten;"
Sonnet LXXXI,1,"From hence your memory death cannot take,/Although in me each part will be forgotten."
Sonnet LXXXI,2,"Your name from hence immortal life shall have,/Though I, once gone, to all the world must die:"
Sonnet LXXXI,3,"The earth can yield me but a common grave,/When you entombed in men's eyes shall lie."
Sonnet LXXXI,4,"Your monument shall be my gentle verse,/Which eyes not yet created shall o'er-read,"
Sonnet LXXXI,5,And tongues to be your being shall rehearse/When all the breathers of this world are dead;
Sonnet LXXXI,6,"  You still shall live--such virtue hath my pen--/  Where breath most breathes, even in the mouths of men."
Sonnet LXXXII,0,I grant thou wert not married to my Muse/And therefore mayst without attaint o'erlook
Sonnet LXXXII,1,"The dedicated words which writers use/Of their fair subject, blessing every book"
Sonnet LXXXII,2,"Thou art as fair in knowledge as in hue,/Finding thy worth a limit past my praise,"
Sonnet LXXXII,3,And therefore art enforced to seek anew/Some fresher stamp of the time-bettering days
Sonnet LXXXII,4,"And do so, love; yet when they have devised/What strained touches rhetoric can lend,"
Sonnet LXXXII,5,Thou truly fair wert truly sympathized/In true plain words by thy true-telling friend;
Sonnet LXXXII,6,  And their gross painting might be better used/  Where cheeks need blood; in thee it is abused.
Sonnet LXXXIII,0,I never saw that you did painting need/And therefore to your fair no painting set;
Sonnet LXXXIII,1,"I found, or thought I found, you did exceed/The barren tender of a poet's debt;"
Sonnet LXXXIII,2,"And therefore have I slept in your report,/That you yourself being extant well might show"
Sonnet LXXXIII,3,"How far a modern quill doth come too short,/Speaking of worth, what worth in you doth grow."
Sonnet LXXXIII,4,"This silence for my sin you did impute,/Which shall be most my glory, being dumb;"
Sonnet LXXXIII,5,"For I impair not beauty being mute,/When others would give life and bring a tomb."
Sonnet LXXXIII,6,  There lives more life in one of your fair eyes/  Than both your poets can in praise devise.
Sonnet LXXXIV,0,"Who is it that says most? which can say more/Than this rich praise, that you alone are you?"
Sonnet LXXXIV,1,In whose confine immured is the store/Which should example where your equal grew.
Sonnet LXXXIV,2,Lean penury within that pen doth dwell/That to his subject lends not some small glory;
Sonnet LXXXIV,3,"But he that writes of you, if he can tell/That you are you, so dignifies his story,"
Sonnet LXXXIV,4,"Let him but copy what in you is writ,/Not making worse what nature made so clear,"
Sonnet LXXXIV,5,"And such a counterpart shall fame his wit,/Making his style admired every where."
Sonnet LXXXIV,6,"  You to your beauteous blessings add a curse,/  Being fond on praise, which makes your praises worse."
Sonnet LXXXV,0,"My tongue-tied Muse in manners holds her still,/While comments of your praise, richly compiled,"
Sonnet LXXXV,1,Reserve their character with golden quill/And precious phrase by all the Muses filed.
Sonnet LXXXV,2,"I think good thoughts whilst other write good words,/And like unletter'd clerk still cry 'Amen'"
Sonnet LXXXV,3,To every hymn that able spirit affords/In polish'd form of well-refined pen.
Sonnet LXXXV,4,"Hearing you praised, I say ''Tis so, 'tis true,'/And to the most of praise add something more;"
Sonnet LXXXV,5,"But that is in my thought, whose love to you,/Though words come hindmost, holds his rank before."
Sonnet LXXXV,6,"  Then others for the breath of words respect,/  Me for my dumb thoughts, speaking in effect."
Sonnet LXXXVI,0,"Was it the proud full sail of his great verse,/Bound for the prize of all too precious you,"
Sonnet LXXXVI,1,"That did my ripe thoughts in my brain inhearse,/Making their tomb the womb wherein they grew?"
Sonnet LXXXVI,2,"Was it his spirit, by spirits taught to write/Above a mortal pitch, that struck me dead?"
Sonnet LXXXVI,3,"No, neither he, nor his compeers by night/Giving him aid, my verse astonished."
Sonnet LXXXVI,4,"He, nor that affable familiar ghost/Which nightly gulls him with intelligence"
Sonnet LXXXVI,5,As victors of my silence cannot boast;/I was not sick of any fear from thence:
Sonnet LXXXVI,6,"  But when your countenance fill'd up his line,/  Then lack'd I matter; that enfeebled mine."
Sonnet LXXXVII,0,"Farewell! thou art too dear for my possessing,/And like enough thou know'st thy estimate:"
Sonnet LXXXVII,1,The charter of thy worth gives thee releasing;/My bonds in thee are all determinate.
Sonnet LXXXVII,2,For how do I hold thee but by thy granting?/And for that riches where is my deserving?
Sonnet LXXXVII,3,"The cause of this fair gift in me is wanting,/And so my patent back again is swerving."
Sonnet LXXXVII,4,"Thyself thou gavest, thy own worth then not knowing,/Or me, to whom thou gavest it, else mistaking;"
Sonnet LXXXVII,5,"So thy great gift, upon misprision growing,/Comes home again, on better judgment making."
Sonnet LXXXVII,6,"  Thus have I had thee, as a dream doth flatter,/  In sleep a king, but waking no such matter."
Sonnet LXXXVIII,0,"When thou shalt be disposed to set me light,/And place my merit in the eye of scorn,"
Sonnet LXXXVIII,1,"Upon thy side against myself I'll fight,/And prove thee virtuous, though thou art forsworn."
Sonnet LXXXVIII,2,"With mine own weakness being best acquainted,/Upon thy part I can set down a story"
Sonnet LXXXVIII,3,"Of faults conceal'd, wherein I am attainted,/That thou in losing me shalt win much glory:"
Sonnet LXXXVIII,4,"And I by this will be a gainer too;/For bending all my loving thoughts on thee,"
Sonnet LXXXVIII,5,"The injuries that to myself I do,/Doing thee vantage, double-vantage me."
Sonnet LXXXVIII,6,"  Such is my love, to thee I so belong,/  That for thy right myself will bear all wrong."
Sonnet LXXXIX,0,"Say that thou didst forsake me for some fault,/And I will comment upon that offence;"
Sonnet LXXXIX,1,"Speak of my lameness, and I straight will halt,/Against thy reasons making no defence."
Sonnet LXXXIX,2,"Thou canst not, love, disgrace me half so ill,/To set a form upon desired change,"
Sonnet LXXXIX,3,"As I'll myself disgrace: knowing thy will,/I will acquaintance strangle and look strange,"
Sonnet LXXXIX,4,"Be absent from thy walks, and in my tongue/Thy sweet beloved name no more shall dwell,"
Sonnet LXXXIX,5,"Lest I, too much profane, should do it wrong/And haply of our old acquaintance tell."
Sonnet LXXXIX,6,"  For thee against myself I'll vow debate,/  For I must ne'er love him whom thou dost hate."
