title,line number,line
Sonnet XXXVI,4,"In our two loves there is but one respect,"
Sonnet XXXVI,5,"Though in our lives a separable spite,"
Sonnet XXXVI,6,"Which though it alter not love's sole effect,"
Sonnet XXXVI,7,Yet doth it steal sweet hours from love's delight.
Sonnet XXXVI,8,"I may not evermore acknowledge thee,"
Sonnet XXXVI,9,"Lest my bewailed guilt should do thee shame,"
Sonnet XXXVI,10,"Nor thou with public kindness honour me,"
Sonnet XXXVI,11,Unless thou take that honour from thy name:
Sonnet XXXVI,12,  But do not so; I love thee in such sort
Sonnet XXXVI,13,"  As, thou being mine, mine is thy good report."
Sonnet XXXVII,0,As a decrepit father takes delight
Sonnet XXXVII,1,"To see his active child do deeds of youth,"
Sonnet XXXVII,2,"So I, made lame by fortune's dearest spite,"
Sonnet XXXVII,3,Take all my comfort of thy worth and truth.
Sonnet XXXVII,4,"For whether beauty, birth, or wealth, or wit,"
Sonnet XXXVII,5,"Or any of these all, or all, or more,"
Sonnet XXXVII,6,"Entitled in thy parts do crowned sit,"
Sonnet XXXVII,7,I make my love engrafted to this store:
Sonnet XXXVII,8,"So then I am not lame, poor, nor despised,"
Sonnet XXXVII,9,Whilst that this shadow doth such substance give
Sonnet XXXVII,10,That I in thy abundance am sufficed
Sonnet XXXVII,11,And by a part of all thy glory live.
Sonnet XXXVII,12,"  Look, what is best, that best I wish in thee:"
Sonnet XXXVII,13,  This wish I have; then ten times happy me!
Sonnet XXXVIII,0,"How can my Muse want subject to invent,"
Sonnet XXXVIII,1,"While thou dost breathe, that pour'st into my verse"
Sonnet XXXVIII,2,"Thine own sweet argument, too excellent"
Sonnet XXXVIII,3,For every vulgar paper to rehearse?
Sonnet XXXVIII,4,"O, give thyself the thanks, if aught in me"
Sonnet XXXVIII,5,Worthy perusal stand against thy sight;
Sonnet XXXVIII,6,"For who's so dumb that cannot write to thee,"
Sonnet XXXVIII,7,When thou thyself dost give invention light?
Sonnet XXXVIII,8,"Be thou the tenth Muse, ten times more in worth"
Sonnet XXXVIII,9,Than those old nine which rhymers invocate;
Sonnet XXXVIII,10,"And he that calls on thee, let him bring forth"
Sonnet XXXVIII,11,Eternal numbers to outlive long date.
Sonnet XXXVIII,12,"  If my slight Muse do please these curious days,"
Sonnet XXXVIII,13,"  The pain be mine, but thine shall be the praise."
Sonnet XXXIX,0,"O, how thy worth with manners may I sing,"
Sonnet XXXIX,1,When thou art all the better part of me?
Sonnet XXXIX,2,What can mine own praise to mine own self bring?
Sonnet XXXIX,3,And what is 't but mine own when I praise thee?
Sonnet XXXIX,4,"Even for this let us divided live,"
Sonnet XXXIX,5,"And our dear love lose name of single one,"
Sonnet XXXIX,6,That by this separation I may give
Sonnet XXXIX,7,That due to thee which thou deservest alone.
Sonnet XXXIX,8,"O absence, what a torment wouldst thou prove,"
Sonnet XXXIX,9,Were it not thy sour leisure gave sweet leave
Sonnet XXXIX,10,"To entertain the time with thoughts of love,"
Sonnet XXXIX,11,"Which time and thoughts so sweetly doth deceive,"
Sonnet XXXIX,12,"  And that thou teachest how to make one twain,"
Sonnet XXXIX,13,  By praising him here who doth hence remain!
Sonnet XL,0,"Take all my loves, my love, yea, take them all;"
Sonnet XL,1,What hast thou then more than thou hadst before?
Sonnet XL,2,"No love, my love, that thou mayst true love call;"
Sonnet XL,3,All mine was thine before thou hadst this more.
Sonnet XL,4,"Then if for my love thou my love receivest,"
Sonnet XL,5,I cannot blame thee for my love thou usest;
Sonnet XL,6,"But yet be blamed, if thou thyself deceivest"
Sonnet XL,7,By wilful taste of what thyself refusest.
Sonnet XL,8,"I do forgive thy robbery, gentle thief,"
Sonnet XL,9,Although thou steal thee all my poverty;
Sonnet XL,10,"And yet, love knows, it is a greater grief"
Sonnet XL,11,To bear love's wrong than hate's known injury.
Sonnet XL,12,"  Lascivious grace, in whom all ill well shows,"
Sonnet XL,13,  Kill me with spites; yet we must not be foes.
Sonnet XLI,0,"Those petty wrongs that liberty commits,"
Sonnet XLI,1,"When I am sometime absent from thy heart,"
Sonnet XLI,2,"Thy beauty and thy years full well befits,"
Sonnet XLI,3,For still temptation follows where thou art.
Sonnet XLI,4,"Gentle thou art and therefore to be won,"
Sonnet XLI,5,"Beauteous thou art, therefore to be assailed;"
Sonnet XLI,6,"And when a woman woos, what woman's son"
Sonnet XLI,7,Will sourly leave her till she have prevailed?
Sonnet XLI,8,"Ay me! but yet thou mightest my seat forbear,"
Sonnet XLI,9,"And chide try beauty and thy straying youth,"
Sonnet XLI,10,Who lead thee in their riot even there
Sonnet XLI,11,"Where thou art forced to break a twofold truth,"
Sonnet XLI,12,"  Hers by thy beauty tempting her to thee,"
Sonnet XLI,13,"  Thine, by thy beauty being false to me."
Sonnet XLII,0,"That thou hast her, it is not all my grief,"
Sonnet XLII,1,And yet it may be said I loved her dearly;
Sonnet XLII,2,"That she hath thee, is of my wailing chief,"
Sonnet XLII,3,A loss in love that touches me more nearly.
Sonnet XLII,4,"Loving offenders, thus I will excuse ye:"
Sonnet XLII,5,"Thou dost love her, because thou knowst I love her;"
Sonnet XLII,6,"And for my sake even so doth she abuse me,"
Sonnet XLII,7,Suffering my friend for my sake to approve her.
Sonnet XLII,8,"If I lose thee, my loss is my love's gain,"
Sonnet XLII,9,"And losing her, my friend hath found that loss;"
Sonnet XLII,10,"Both find each other, and I lose both twain,"
Sonnet XLII,11,And both for my sake lay on me this cross:
Sonnet XLII,12,  But here's the joy; my friend and I are one;
Sonnet XLII,13,  Sweet flattery! then she loves but me alone.
Sonnet XLIII,0,"When most I wink, then do mine eyes best see,"
Sonnet XLIII,1,For all the day they view things unrespected;
Sonnet XLIII,2,"But when I sleep, in dreams they look on thee,"
Sonnet XLIII,3,And darkly bright are bright in dark directed.
Sonnet XLIII,4,"Then thou, whose shadow shadows doth make bright,"
Sonnet XLIII,5,How would thy shadow's form form happy show
Sonnet XLIII,6,"To the clear day with thy much clearer light,"
Sonnet XLIII,7,When to unseeing eyes thy shade shines so!
Sonnet XLIII,8,"How would, I say, mine eyes be blessed made"
Sonnet XLIII,9,"By looking on thee in the living day,"
Sonnet XLIII,10,When in dead night thy fair imperfect shade
Sonnet XLIII,11,Through heavy sleep on sightless eyes doth stay!
Sonnet XLIII,12,"  All days are nights to see till I see thee,"
Sonnet XLIII,13,  And nights bright days when dreams do show thee me.
Sonnet XLIV,0,"If the dull substance of my flesh were thought,"
Sonnet XLIV,1,Injurious distance should not stop my way;
Sonnet XLIV,2,"For then despite of space I would be brought,"
Sonnet XLIV,3,From limits far remote where thou dost stay.
Sonnet XLIV,4,No matter then although my foot did stand
Sonnet XLIV,5,Upon the farthest earth removed from thee;
Sonnet XLIV,6,For nimble thought can jump both sea and land
Sonnet XLIV,7,As soon as think the place where he would be.
Sonnet XLIV,8,"But ah! thought kills me that I am not thought,"
Sonnet XLIV,9,"To leap large lengths of miles when thou art gone,"
Sonnet XLIV,10,But that so much of earth and water wrought
Sonnet XLIV,11,"I must attend time's leisure with my moan,"
Sonnet XLIV,12,  Receiving nought by elements so slow
Sonnet XLIV,13,"  But heavy tears, badges of either's woe."
Sonnet XLV,0,"The other two, slight air and purging fire,"
Sonnet XLV,1,"Are both with thee, wherever I abide;"
Sonnet XLV,2,"The first my thought, the other my desire,"
Sonnet XLV,3,These present-absent with swift motion slide.
Sonnet XLV,4,For when these quicker elements are gone
Sonnet XLV,5,"In tender embassy of love to thee,"
Sonnet XLV,6,"My life, being made of four, with two alone"
Sonnet XLV,7,"Sinks down to death, oppress'd with melancholy;"
Sonnet XLV,8,Until life's composition be recured
Sonnet XLV,9,"By those swift messengers return'd from thee,"
Sonnet XLV,10,"Who even but now come back again, assured"
Sonnet XLV,11,"Of thy fair health, recounting it to me:"
Sonnet XLV,12,"  This told, I joy; but then no longer glad,"
Sonnet XLV,13,  I send them back again and straight grow sad.
Sonnet XLVI,0,Mine eye and heart are at a mortal war
Sonnet XLVI,1,How to divide the conquest of thy sight;
Sonnet XLVI,2,"Mine eye my heart thy picture's sight would bar,"
Sonnet XLVI,3,My heart mine eye the freedom of that right.
Sonnet XLVI,4,My heart doth plead that thou in him dost lie--
Sonnet XLVI,5,A closet never pierced with crystal eyes--
Sonnet XLVI,6,But the defendant doth that plea deny
Sonnet XLVI,7,And says in him thy fair appearance lies.
Sonnet XLVI,8,To 'cide this title is impanneled
Sonnet XLVI,9,"A quest of thoughts, all tenants to the heart,"
Sonnet XLVI,10,And by their verdict is determined
Sonnet XLVI,11,The clear eye's moiety and the dear heart's part:
Sonnet XLVI,12,"  As thus; mine eye's due is thy outward part,"
Sonnet XLVI,13,  And my heart's right thy inward love of heart.
Sonnet XLVII,0,"Betwixt mine eye and heart a league is took,"
Sonnet XLVII,1,And each doth good turns now unto the other:
Sonnet XLVII,2,"When that mine eye is famish'd for a look,"
Sonnet XLVII,3,"Or heart in love with sighs himself doth smother,"
Sonnet XLVII,4,With my love's picture then my eye doth feast
Sonnet XLVII,5,And to the painted banquet bids my heart;
Sonnet XLVII,6,Another time mine eye is my heart's guest
Sonnet XLVII,7,And in his thoughts of love doth share a part:
Sonnet XLVII,8,"So, either by thy picture or my love,"
Sonnet XLVII,9,Thyself away art resent still with me;
Sonnet XLVII,10,"For thou not farther than my thoughts canst move,"
Sonnet XLVII,11,And I am still with them and they with thee;
Sonnet XLVII,12,"  Or, if they sleep, thy picture in my sight"
Sonnet XLVII,13,  Awakes my heart to heart's and eye's delight.
Sonnet XLVIII,0,"How careful was I, when I took my way,"
Sonnet XLVIII,1,"Each trifle under truest bars to thrust,"
Sonnet XLVIII,2,That to my use it might unused stay
Sonnet XLVIII,3,"From hands of falsehood, in sure wards of trust!"
Sonnet XLVIII,4,"But thou, to whom my jewels trifles are,"
Sonnet XLVIII,5,"Most worthy of comfort, now my greatest grief,"
Sonnet XLVIII,6,"Thou, best of dearest and mine only care,"
Sonnet XLVIII,7,Art left the prey of every vulgar thief.
Sonnet XLVIII,8,"Thee have I not lock'd up in any chest,"
Sonnet XLVIII,9,"Save where thou art not, though I feel thou art,"
Sonnet XLVIII,10,"Within the gentle closure of my breast,"
Sonnet XLVIII,11,From whence at pleasure thou mayst come and part;
Sonnet XLVIII,12,"  And even thence thou wilt be stol'n, I fear,"
Sonnet XLVIII,13,  For truth proves thievish for a prize so dear.
Sonnet XLIX,0,"Against that time, if ever that time come,"
Sonnet XLIX,1,"When I shall see thee frown on my defects,"
Sonnet XLIX,2,"When as thy love hath cast his utmost sum,"
Sonnet XLIX,3,Call'd to that audit by advised respects;
Sonnet XLIX,4,Against that time when thou shalt strangely pass
Sonnet XLIX,5,"And scarcely greet me with that sun thine eye,"
Sonnet XLIX,6,"When love, converted from the thing it was,"
Sonnet XLIX,7,"Shall reasons find of settled gravity,--"
Sonnet XLIX,8,Against that time do I ensconce me here
Sonnet XLIX,9,"Within the knowledge of mine own desert,"
Sonnet XLIX,10,"And this my hand against myself uprear,"
Sonnet XLIX,11,To guard the lawful reasons on thy part:
Sonnet XLIX,12,"  To leave poor me thou hast the strength of laws,"
Sonnet XLIX,13,  Since why to love I can allege no cause.
Sonnet L,0,"How heavy do I journey on the way,"
Sonnet L,1,"When what I seek, my weary travel's end,"
Sonnet L,2,Doth teach that ease and that repose to say
Sonnet L,3,'Thus far the miles are measured from thy friend!'
Sonnet L,4,"The beast that bears me, tired with my woe,"
Sonnet L,5,"Plods dully on, to bear that weight in me,"
Sonnet L,6,As if by some instinct the wretch did know
Sonnet L,7,"His rider loved not speed, being made from thee:"
Sonnet L,8,The bloody spur cannot provoke him on
Sonnet L,9,That sometimes anger thrusts into his hide;
Sonnet L,10,"Which heavily he answers with a groan,"
Sonnet L,11,More sharp to me than spurring to his side;
Sonnet L,12,  For that same groan doth put this in my mind;
Sonnet L,13,  My grief lies onward and my joy behind.
Sonnet LI,0,Thus can my love excuse the slow offence
Sonnet LI,1,Of my dull bearer when from thee I speed:
Sonnet LI,2,From where thou art why should I haste me thence?
Sonnet LI,3,"Till I return, of posting is no need."
Sonnet LI,4,"O, what excuse will my poor beast then find,"
Sonnet LI,5,When swift extremity can seem but slow?
Sonnet LI,6,"Then should I spur, though mounted on the wind;"
Sonnet LI,7,In winged speed no motion shall I know:
Sonnet LI,8,Then can no horse with my desire keep pace;
Sonnet LI,9,"Therefore desire of perfect'st love being made,"
Sonnet LI,10,Shall neigh--no dull flesh--in his fiery race;
Sonnet LI,11,"But love, for love, thus shall excuse my jade;"
Sonnet LI,12,"  Since from thee going he went wilful-slow,"
Sonnet LI,13,"  Towards thee I'll run, and give him leave to go."
Sonnet LII,0,"So am I as the rich, whose blessed key"
Sonnet LII,1,"Can bring him to his sweet up-locked treasure,"
Sonnet LII,2,"The which he will not every hour survey,"
Sonnet LII,3,For blunting the fine point of seldom pleasure.
Sonnet LII,4,"Therefore are feasts so solemn and so rare,"
Sonnet LII,5,"Since, seldom coming, in the long year set,"
Sonnet LII,6,"Like stones of worth they thinly placed are,"
Sonnet LII,7,Or captain jewels in the carcanet.
Sonnet LII,8,"So is the time that keeps you as my chest,"
Sonnet LII,9,"Or as the wardrobe which the robe doth hide,"
Sonnet LII,10,"To make some special instant special blest,"
Sonnet LII,11,By new unfolding his imprison'd pride.
Sonnet LII,12,"  Blessed are you, whose worthiness gives scope,"
Sonnet LII,13,"  Being had, to triumph, being lack'd, to hope."
Sonnet LIII,0,"What is your substance, whereof are you made,"
Sonnet LIII,1,That millions of strange shadows on you tend?
Sonnet LIII,2,"Since every one hath, every one, one shade,"
Sonnet LIII,3,"And you, but one, can every shadow lend."
Sonnet LIII,4,"Describe Adonis, and the counterfeit"
Sonnet LIII,5,Is poorly imitated after you;
Sonnet LIII,6,"On Helen's cheek all art of beauty set,"
Sonnet LIII,7,And you in Grecian tires are painted new:
Sonnet LIII,8,Speak of the spring and foison of the year;
Sonnet LIII,9,"The one doth shadow of your beauty show,"
Sonnet LIII,10,The other as your bounty doth appear;
Sonnet LIII,11,And you in every blessed shape we know.
Sonnet LIII,12,"  In all external grace you have some part,"
Sonnet LIII,13,"  But you like none, none you, for constant heart."
Sonnet LIV,0,"O, how much more doth beauty beauteous seem"
Sonnet LIV,1,By that sweet ornament which truth doth give!
Sonnet LIV,2,"The rose looks fair, but fairer we it deem"
Sonnet LIV,3,For that sweet odour which doth in it live.
Sonnet LIV,4,The canker-blooms have full as deep a dye
Sonnet LIV,5,"As the perfumed tincture of the roses,"
Sonnet LIV,6,Hang on such thorns and play as wantonly
Sonnet LIV,7,When summer's breath their masked buds discloses:
Sonnet LIV,8,"But, for their virtue only is their show,"
Sonnet LIV,9,"They live unwoo'd and unrespected fade,"
Sonnet LIV,10,Die to themselves. Sweet roses do not so;
Sonnet LIV,11,Of their sweet deaths are sweetest odours made:
Sonnet LIV,12,"  And so of you, beauteous and lovely youth,"
Sonnet LIV,13,"  When that shall fade, my verse distills your truth."
Sonnet LV,0,"Not marble, nor the gilded monuments"
Sonnet LV,1,"Of princes, shall outlive this powerful rhyme;"
Sonnet LV,2,But you shall shine more bright in these contents
Sonnet LV,3,Than unswept stone besmear'd with sluttish time.
Sonnet LV,4,"When wasteful war shall statues overturn,"
Sonnet LV,5,"And broils root out the work of masonry,"
Sonnet LV,6,Nor Mars his sword nor war's quick fire shall burn
Sonnet LV,7,The living record of your memory.
Sonnet LV,8,'Gainst death and all-oblivious enmity
Sonnet LV,9,Shall you pace forth; your praise shall still find room
Sonnet LV,10,Even in the eyes of all posterity
Sonnet LV,11,That wear this world out to the ending doom.
Sonnet LV,12,"  So, till the judgment that yourself arise,"
Sonnet LV,13,"  You live in this, and dwell in lover's eyes."
Sonnet LVI,0,"Sweet love, renew thy force; be it not said"
Sonnet LVI,1,"Thy edge should blunter be than appetite,"
Sonnet LVI,2,"Which but to-day by feeding is allay'd,"
Sonnet LVI,3,To-morrow sharpen'd in his former might:
Sonnet LVI,4,"So, love, be thou; although to-day thou fill"
Sonnet LVI,5,"Thy hungry eyes even till they wink with fullness,"
Sonnet LVI,6,"To-morrow see again, and do not kill"
Sonnet LVI,7,The spirit of love with a perpetual dullness.
Sonnet LVI,8,Let this sad interim like the ocean be
Sonnet LVI,9,"Which parts the shore, where two contracted new"
Sonnet LVI,10,"Come daily to the banks, that, when they see"
Sonnet LVI,11,"Return of love, more blest may be the view;"
Sonnet LVI,12,"  Else call it winter, which being full of care"
Sonnet LVI,13,"  Makes summer's welcome thrice more wish'd, more rare."
Sonnet LVII,0,"Being your slave, what should I do but tend"
Sonnet LVII,1,Upon the hours and times of your desire?
Sonnet LVII,2,"I have no precious time at all to spend,"
Sonnet LVII,3,"Nor services to do, till you require."
Sonnet LVII,4,Nor dare I chide the world-without-end hour
Sonnet LVII,5,"Whilst I, my sovereign, watch the clock for you,"
Sonnet LVII,6,Nor think the bitterness of absence sour
Sonnet LVII,7,When you have bid your servant once adieu;
Sonnet LVII,8,Nor dare I question with my jealous thought
Sonnet LVII,9,"Where you may be, or your affairs suppose,"
Sonnet LVII,10,"But, like a sad slave, stay and think of nought"
Sonnet LVII,11,"Save, where you are how happy you make those."
Sonnet LVII,12,"  So true a fool is love that in your will,"
Sonnet LVII,13,"  Though you do any thing, he thinks no ill."
Sonnet LVIII,0,"That god forbid that made me first your slave,"
Sonnet LVIII,1,"I should in thought control your times of pleasure,"
Sonnet LVIII,2,"Or at your hand the account of hours to crave,"
Sonnet LVIII,3,"Being your vassal, bound to stay your leisure!"
Sonnet LVIII,4,"O, let me suffer, being at your beck,"
Sonnet LVIII,5,The imprison'd absence of your liberty;
Sonnet LVIII,6,"And patience, tame to sufferance, bide each cheque,"
Sonnet LVIII,7,Without accusing you of injury.
Sonnet LVIII,8,"Be where you list, your charter is so strong"
Sonnet LVIII,9,That you yourself may privilege your time
Sonnet LVIII,10,To what you will; to you it doth belong
Sonnet LVIII,11,Yourself to pardon of self-doing crime.
Sonnet LVIII,12,"  I am to wait, though waiting so be hell;"
Sonnet LVIII,13,"  Not blame your pleasure, be it ill or well."
Sonnet LIX,0,"If there be nothing new, but that which is"
Sonnet LIX,1,"Hath been before, how are our brains beguiled,"
Sonnet LIX,2,"Which, labouring for invention, bear amiss"
Sonnet LIX,3,The second burden of a former child!
Sonnet LIX,4,"O, that record could with a backward look,"
Sonnet LIX,5,"Even of five hundred courses of the sun,"
Sonnet LIX,6,"Show me your image in some antique book,"
Sonnet LIX,7,Since mind at first in character was done!
Sonnet LIX,8,That I might see what the old world could say
Sonnet LIX,9,To this composed wonder of your frame;
Sonnet LIX,10,"Whether we are mended, or whether better they,"
Sonnet LIX,11,Or whether revolution be the same.
Sonnet LIX,12,"  O, sure I am, the wits of former days"
Sonnet LIX,13,  To subjects worse have given admiring praise.
Sonnet LX,0,"Like as the waves make towards the pebbled shore,"
Sonnet LX,1,So do our minutes hasten to their end;
Sonnet LX,2,"Each changing place with that which goes before,"
Sonnet LX,3,In sequent toil all forwards do contend.
Sonnet LX,4,"Nativity, once in the main of light,"
Sonnet LX,5,"Crawls to maturity, wherewith being crown'd,"
Sonnet LX,6,"Crooked elipses 'gainst his glory fight,"
Sonnet LX,7,And Time that gave doth now his gift confound.
Sonnet LX,8,Time doth transfix the flourish set on youth
Sonnet LX,9,"And delves the parallels in beauty's brow,"
Sonnet LX,10,"Feeds on the rarities of nature's truth,"
Sonnet LX,11,And nothing stands but for his scythe to mow:
Sonnet LX,12,"  And yet to times in hope my verse shall stand,"
Sonnet LX,13,"  Praising thy worth, despite his cruel hand."
Sonnet LXI,0,Is it thy will thy image should keep open
Sonnet LXI,1,My heavy eyelids to the weary night?
Sonnet LXI,2,"Dost thou desire my slumbers should be broken,"
Sonnet LXI,3,While shadows like to thee do mock my sight?
Sonnet LXI,4,Is it thy spirit that thou send'st from thee
Sonnet LXI,5,"So far from home into my deeds to pry,"
Sonnet LXI,6,"To find out shames and idle hours in me,"
Sonnet LXI,7,The scope and tenor of thy jealousy?
Sonnet LXI,8,"O, no! thy love, though much, is not so great:"
Sonnet LXI,9,It is my love that keeps mine eye awake;
Sonnet LXI,10,"Mine own true love that doth my rest defeat,"
Sonnet LXI,11,To play the watchman ever for thy sake:
Sonnet LXI,12,"  For thee watch I whilst thou dost wake elsewhere,"
Sonnet LXI,13,"  From me far off, with others all too near."
Sonnet LXII,0,Sin of self-love possesseth all mine eye
Sonnet LXII,1,And all my soul and all my every part;
Sonnet LXII,2,"And for this sin there is no remedy,"
Sonnet LXII,3,It is so grounded inward in my heart.
Sonnet LXII,4,"Methinks no face so gracious is as mine,"
Sonnet LXII,5,"No shape so true, no truth of such account;"
Sonnet LXII,6,"And for myself mine own worth do define,"
Sonnet LXII,7,As I all other in all worths surmount.
Sonnet LXII,8,"But when my glass shows me myself indeed,"
Sonnet LXII,9,"Beated and chopp'd with tann'd antiquity,"
Sonnet LXII,10,Mine own self-love quite contrary I read;
Sonnet LXII,11,Self so self-loving were iniquity.
Sonnet LXII,12,"  'Tis thee, myself, that for myself I praise,"
Sonnet LXII,13,  Painting my age with beauty of thy days.
Sonnet LXIII,0,"Against my love shall be, as I am now,"
Sonnet LXIII,1,With Time's injurious hand crush'd and o'er-worn;
Sonnet LXIII,2,When hours have drain'd his blood and fill'd his brow
Sonnet LXIII,3,With lines and wrinkles; when his youthful morn
Sonnet LXIII,4,"Hath travell'd on to age's steepy night,"
Sonnet LXIII,5,And all those beauties whereof now he's king
Sonnet LXIII,6,"Are vanishing or vanish'd out of sight,"
Sonnet LXIII,7,Stealing away the treasure of his spring;
Sonnet LXIII,8,For such a time do I now fortify
Sonnet LXIII,9,"Against confounding age's cruel knife,"
Sonnet LXIII,10,That he shall never cut from memory
Sonnet LXIII,11,"My sweet love's beauty, though my lover's life:"
Sonnet LXIII,12,"  His beauty shall in these black lines be seen,"
Sonnet LXIII,13,"  And they shall live, and he in them still green."
Sonnet LXIV,0,When I have seen by Time's fell hand defaced
Sonnet LXIV,1,The rich proud cost of outworn buried age;
Sonnet LXIV,2,When sometime lofty towers I see down-razed
Sonnet LXIV,3,And brass eternal slave to mortal rage;
Sonnet LXIV,4,When I have seen the hungry ocean gain
Sonnet LXIV,5,"Advantage on the kingdom of the shore,"
Sonnet LXIV,6,"And the firm soil win of the watery main,"
Sonnet LXIV,7,Increasing store with loss and loss with store;
Sonnet LXIV,8,"When I have seen such interchange of state,"
Sonnet LXIV,9,Or state itself confounded to decay;
Sonnet LXIV,10,"Ruin hath taught me thus to ruminate,"
Sonnet LXIV,11,That Time will come and take my love away.
Sonnet LXIV,12,"  This thought is as a death, which cannot choose"
Sonnet LXIV,13,  But weep to have that which it fears to lose.
Sonnet LXV,0,"Since brass, nor stone, nor earth, nor boundless sea,"
Sonnet LXV,1,"But sad mortality o'er-sways their power,"
Sonnet LXV,2,"How with this rage shall beauty hold a plea,"
Sonnet LXV,3,Whose action is no stronger than a flower?
Sonnet LXV,4,"O, how shall summer's honey breath hold out"
Sonnet LXV,5,"Against the wreckful siege of battering days,"
Sonnet LXV,6,"When rocks impregnable are not so stout,"
Sonnet LXV,7,"Nor gates of steel so strong, but Time decays?"
Sonnet LXV,8,"O fearful meditation! where, alack,"
Sonnet LXV,9,Shall Time's best jewel from Time's chest lie hid?
Sonnet LXV,10,Or what strong hand can hold his swift foot back?
Sonnet LXV,11,Or who his spoil of beauty can forbid?
Sonnet LXV,12,"  O, none, unless this miracle have might,"
Sonnet LXV,13,  That in black ink my love may still shine bright.
Sonnet LXVI,0,"Tired with all these, for restful death I cry,"
Sonnet LXVI,1,"As, to behold desert a beggar born,"
Sonnet LXVI,2,"And needy nothing trimm'd in jollity,"
Sonnet LXVI,3,"And purest faith unhappily forsworn,"
Sonnet LXVI,4,"And guilded honour shamefully misplaced,"
Sonnet LXVI,5,"And maiden virtue rudely strumpeted,"
Sonnet LXVI,6,"And right perfection wrongfully disgraced,"
Sonnet LXVI,7,"And strength by limping sway disabled,"
Sonnet LXVI,8,"And art made tongue-tied by authority,"
Sonnet LXVI,9,"And folly doctor-like controlling skill,"
Sonnet LXVI,10,"And simple truth miscall'd simplicity,"
Sonnet LXVI,11,And captive good attending captain ill:
Sonnet LXVI,12,"  Tired with all these, from these would I be gone,"
Sonnet LXVI,13,"  Save that, to die, I leave my love alone."
Sonnet LXVII,0,"Ah! wherefore with infection should he live,"
Sonnet LXVII,1,"And with his presence grace impiety,"
Sonnet LXVII,2,That sin by him advantage should achieve
Sonnet LXVII,3,And lace itself with his society?
Sonnet LXVII,4,Why should false painting imitate his cheek
Sonnet LXVII,5,And steal dead seeing of his living hue?
Sonnet LXVII,6,Why should poor beauty indirectly seek
Sonnet LXVII,7,"Roses of shadow, since his rose is true?"
Sonnet LXVII,8,"Why should he live, now Nature bankrupt is,"
Sonnet LXVII,9,Beggar'd of blood to blush through lively veins?
Sonnet LXVII,10,"For she hath no exchequer now but his,"
Sonnet LXVII,11,"And, proud of many, lives upon his gains."
Sonnet LXVII,12,"  O, him she stores, to show what wealth she had"
Sonnet LXVII,13,"  In days long since, before these last so bad."
Sonnet LXVIII,0,"Thus is his cheek the map of days outworn,"
Sonnet LXVIII,1,"When beauty lived and died as flowers do now,"
Sonnet LXVIII,2,"Before the bastard signs of fair were born,"
Sonnet LXVIII,3,Or durst inhabit on a living brow;
Sonnet LXVIII,4,"Before the golden tresses of the dead,"
Sonnet LXVIII,5,"The right of sepulchres, were shorn away,"
Sonnet LXVIII,6,To live a second life on second head;
Sonnet LXVIII,7,Ere beauty's dead fleece made another gay:
Sonnet LXVIII,8,"In him those holy antique hours are seen,"
Sonnet LXVIII,9,"Without all ornament, itself and true,"
Sonnet LXVIII,10,"Making no summer of another's green,"
Sonnet LXVIII,11,Robbing no old to dress his beauty new;
Sonnet LXVIII,12,"  And him as for a map doth Nature store,"
Sonnet LXVIII,13,  To show false Art what beauty was of yore.
Sonnet LXIX,0,Those parts of thee that the world's eye doth view
Sonnet LXIX,1,Want nothing that the thought of hearts can mend;
Sonnet LXIX,2,"All tongues, the voice of souls, give thee that due,"
Sonnet LXIX,3,"Uttering bare truth, even so as foes commend."
Sonnet LXIX,4,Thy outward thus with outward praise is crown'd;
Sonnet LXIX,5,But those same tongues that give thee so thine own
Sonnet LXIX,6,In other accents do this praise confound
Sonnet LXIX,7,By seeing farther than the eye hath shown.
Sonnet LXIX,8,"They look into the beauty of thy mind,"
Sonnet LXIX,9,"And that, in guess, they measure by thy deeds;"
Sonnet LXIX,10,"Then, churls, their thoughts, although their eyes were kind,"
Sonnet LXIX,11,To thy fair flower add the rank smell of weeds:
Sonnet LXIX,12,"  But why thy odour matcheth not thy show,"
Sonnet LXIX,13,"  The solve is this, that thou dost common grow."
Sonnet LXX,0,"That thou art blamed shall not be thy defect,"
Sonnet LXX,1,For slander's mark was ever yet the fair;
Sonnet LXX,2,"The ornament of beauty is suspect,"
Sonnet LXX,3,A crow that flies in heaven's sweetest air.
Sonnet LXX,4,"So thou be good, slander doth but approve"
Sonnet LXX,5,"Thy worth the greater, being woo'd of time;"
Sonnet LXX,6,"For canker vice the sweetest buds doth love,"
Sonnet LXX,7,And thou present'st a pure unstained prime.
Sonnet LXX,8,"Thou hast pass'd by the ambush of young days,"
Sonnet LXX,9,Either not assail'd or victor being charged;
Sonnet LXX,10,"Yet this thy praise cannot be so thy praise,"
Sonnet LXX,11,To tie up envy evermore enlarged:
Sonnet LXX,12,"  If some suspect of ill mask'd not thy show,"
Sonnet LXX,13,  Then thou alone kingdoms of hearts shouldst owe.
Sonnet LXXI,0,No longer mourn for me when I am dead
Sonnet LXXI,1,Then you shall hear the surly sullen bell
Sonnet LXXI,2,Give warning to the world that I am fled
Sonnet LXXI,3,"From this vile world, with vilest worms to dwell:"
Sonnet LXXI,4,"Nay, if you read this line, remember not"
Sonnet LXXI,5,The hand that writ it; for I love you so
